,Rate,Gdp,Import,Export
2021-12-17,1174.291941,13220.657534246417,5095763568.713506,2956794568.0809207
2021-12-18,1173.271259,13226.813698629978,5099310155.564887,2959214394.9027057
2021-12-19,1173.271259,13232.969863013539,5102856742.416268,2961634221.7244906
2021-12-20,1174.101623,13239.1260273971,5106403329.26765,2964054048.5462756
2021-12-21,1168.821353,13245.282191780661,5109949916.119031,2966473875.3680606
2021-12-22,1137.521286,13251.438356164223,5113496502.970412,2968893702.1898456
2021-12-23,1171.52013,13257.594520547784,5117043089.821794,2971313529.0116305
2021-12-24,1135.366233,13263.750684931345,5120589676.673175,2973733355.8334155
2021-12-25,1139.708915,13269.906849314906,5124136263.524556,2976153182.6552005
2021-12-26,1139.708915,13276.063013698467,5127682850.375937,2978573009.4769855
2021-12-27,1137.617794,13282.219178082029,5131229437.227319,2980992836.2987704
2021-12-28,1141.015986,13288.37534246559,5134776024.0787,2983412663.1205554
2021-12-29,1175.373641,13294.53150684915,5138322610.930081,2985832489.9423404
2021-12-30,1172.188683,13300.687671232712,5141869197.781463,2988252316.7641253
2021-12-31,1149.228685,13306.843835616273,5145415784.632844,2990672143.5859103
2022-01-01,1154.202605,13313.0,5148962371.48426,2993091970.40773
2022-01-02,1154.202605,13315.78904109589,5150522818.491085,2994505888.065495
2022-01-03,1153.542993,13318.57808219178,5152083265.4979105,2995919805.72326
2022-01-04,1177.856467,13321.36712328767,5153643712.504736,2997333723.381025
2022-01-05,1142.873268,13324.15616438356,5155204159.511561,2998747641.0387897
2022-01-06,1145.692479,13326.94520547945,5156764606.518387,3000161558.6965547
2022-01-07,1146.633683,13329.734246575339,5158325053.525212,3001575476.3543196
2022-01-08,1154.348142,13332.523287671229,5159885500.532038,3002989394.0120845
2022-01-09,1173.154295,13335.312328767119,5161445947.538863,3004403311.6698494
2022-01-10,1171.372562,13338.101369863009,5163006394.545689,3005817229.3276143
2022-01-11,1153.12477,13340.890410958898,5164566841.552514,3007231146.985379
2022-01-12,1177.124329,13343.679452054788,5166127288.55934,3008645064.643144
2022-01-13,1167.041378,13346.468493150678,5167687735.566165,3010058982.300909
2022-01-14,1189.780985,13349.257534246568,5169248182.57299,3011472899.958674
2022-01-15,1158.735323,13352.046575342458,5170808629.579816,3012886817.616439
2022-01-16,1158.735323,13354.835616438348,5172369076.586641,3014300735.274204
2022-01-17,1157.955382,13357.624657534237,5173929523.593467,3015714652.9319687
2022-01-18,1185.297612,13360.413698630127,5175489970.600292,3017128570.5897336
2022-01-19,1150.225573,13363.202739726017,5177050417.607118,3018542488.2474985
2022-01-20,1153.114261,13365.991780821907,5178610864.613943,3019956405.9052634
2022-01-21,1148.409225,13368.780821917797,5180171311.620769,3021370323.5630283
2022-01-22,1151.492118,13371.569863013687,5181731758.627594,3022784241.2207932
2022-01-23,1151.492118,13374.358904109577,5183292205.634419,3024198158.878558
2022-01-24,1150.708848,13377.147945205466,5184852652.641245,3025612076.536323
2022-01-25,1144.565014,13379.936986301356,5186413099.64807,3027025994.194088
2022-01-26,1147.145416,13382.726027397246,5187973546.654896,3028439911.851853
2022-01-27,1141.265369,13385.515068493136,5189533993.661721,3029853829.509618
2022-01-28,1133.425266,13388.304109589026,5191094440.668547,3031267747.1673827
2022-01-29,1133.740818,13391.093150684916,5192654887.675372,3032681664.8251476
2022-01-30,1133.740818,13393.882191780805,5194215334.682198,3034095582.4829125
2022-01-31,1156.073014,13396.671232876695,5195775781.689023,3035509500.1406775
2022-02-01,1160.940871,13399.460273972585,5197336228.695848,3036923417.7984424
2022-02-02,1145.602048,13402.249315068475,5198896675.702674,3038337335.4562073
2022-02-03,1173.307291,13405.038356164365,5200457122.709499,3039751253.113972
2022-02-04,1164.289028,13407.827397260255,5202017569.716325,3041165170.771737
2022-02-05,1164.409457,13410.616438356144,5203578016.72315,3042579088.429502
2022-02-06,1164.409457,13413.405479452034,5205138463.729976,3043993006.087267
2022-02-07,1164.761939,13416.194520547924,5206698910.736801,3045406923.745032
2022-02-08,1164.766389,13418.983561643814,5208259357.743627,3046820841.4027967
2022-02-09,1186.31604,13421.772602739704,5209819804.750452,3048234759.0605617
2022-02-10,1162.496765,13424.561643835594,5211380251.7572775,3049648676.7183266
2022-02-11,1158.794125,13427.350684931484,5212940698.764103,3051062594.3760915
2022-02-12,1155.368581,13430.139726027373,5214501145.770928,3052476512.0338564
2022-02-13,1184.520089,13432.928767123263,5216061592.777754,3053890429.6916213
2022-02-14,1184.96269,13435.717808219153,5217622039.784579,3055304347.349386
2022-02-15,1152.578031,13438.506849315043,5219182486.791405,3056718265.007151
2022-02-16,1155.984034,13441.295890410933,5220742933.79823,3058132182.664916
2022-02-17,1159.502745,13444.084931506823,5222303380.805056,3059546100.322681
2022-02-18,1157.540199,13446.873972602712,5223863827.811881,3060960017.980446
2022-02-19,1153.753695,13449.663013698602,5225424274.8187065,3062373935.638211
2022-02-20,1153.753695,13452.452054794492,5226984721.825532,3063787853.2959757
2022-02-21,1153.530494,13455.241095890382,5228545168.832357,3065201770.9537406
2022-02-22,1176.75738,13458.030136986272,5230105615.839183,3066615688.6115055
2022-02-23,1153.7373,13460.819178082162,5231666062.846008,3068029606.2692704
2022-02-24,1149.515341,13463.608219178052,5233226509.852834,3069443523.9270353
2022-02-25,1139.250951,13466.397260273941,5234786956.859659,3070857441.5848002
2022-02-26,1144.172362,13469.186301369831,5236347403.866485,3072271359.242565
2022-02-27,1134.226274,13471.975342465721,5237907850.87331,3073685276.90033
2022-02-28,1123.73013,13474.76438356161,5239468297.880136,3075099194.558095
2022-03-01,1134.457922,13477.5534246575,5241028744.886961,3076513112.21586
2022-03-02,1127.674081,13480.34246575339,5242589191.893786,3077927029.873625
2022-03-03,1132.376404,13483.13150684928,5244149638.900612,3079340947.5313897
2022-03-04,1119.950633,13485.92054794517,5245710085.907437,3080754865.1891546
2022-03-05,1133.024564,13488.70958904106,5247270532.914263,3082168782.8469195
2022-03-06,1133.024564,13491.49863013695,5248830979.921088,3083582700.5046844
2022-03-07,1123.047316,13494.28767123284,5250391426.927914,3084996618.1624494
2022-03-08,1107.095267,13497.07671232873,5251951873.934739,3086410535.8202143
2022-03-09,1113.704407,13499.86575342462,5253512320.941565,3087824453.477979
2022-03-10,1126.4998,13502.65479452051,5255072767.94839,3089238371.135744
2022-03-11,1129.047689,13505.4438356164,5256633214.955215,3090652288.793509
2022-03-12,1107.777587,13508.232876712289,5258193661.962041,3092066206.451274
2022-03-13,1107.777587,13511.021917808179,5259754108.968866,3093480124.109039
