,Rate,Gdp,Import,Export
2021-12-17,2.944818,833.4520547945149,438121300.4182866,172188145.9331892
2021-12-18,2.922097,833.4219178082135,438186682.9945169,172400757.52812067
2021-12-19,2.922097,833.3917808219121,438252065.5707472,172613369.12305212
2021-12-20,2.923645,833.3616438356107,438317448.1469775,172825980.71798357
2021-12-21,2.933985,833.3315068493093,438382830.7232078,173038592.31291503
2021-12-22,2.935732,833.301369863008,438448213.29943806,173251203.90784648
2021-12-23,2.948257,833.2712328767066,438513595.87566835,173463815.50277793
2021-12-24,2.944784,833.2410958904052,438578978.45189863,173676427.0977094
2021-12-25,2.948695,833.2109589041038,438644361.0281289,173889038.69264084
2021-12-26,2.948695,833.1808219178024,438709743.6043592,174101650.2875723
2021-12-27,2.943284,833.150684931501,438775126.1805895,174314261.88250375
2021-12-28,2.944751,833.1205479451996,438840508.7568198,174526873.4774352
2021-12-29,2.938367,833.0904109588982,438905891.3330501,174739485.07236665
2021-12-30,2.95013,833.0602739725969,438971273.90928036,174952096.6672981
2021-12-31,2.944031,833.0301369862955,439036656.48551065,175164708.26222956
2022-01-01,2.956773,833.0,439102039.061738,175377319.857162
2022-01-02,2.956773,833.2876712328767,439490180.8731776,175845292.00594264
2022-01-03,2.955083,833.5753424657535,439878322.68461716,176313264.1547233
2022-01-04,2.939757,833.8630136986302,440266464.49605674,176781236.30350393
2022-01-05,2.934979,834.1506849315069,440654606.3074963,177249208.45228457
2022-01-06,2.942219,834.4383561643837,441042748.1189359,177717180.60106522
2022-01-07,2.937383,834.7260273972604,441430889.93037546,178185152.74984586
2022-01-08,2.954235,835.0136986301371,441819031.74181503,178653124.8986265
2022-01-09,2.954235,835.3013698630139,442207173.5532546,179121097.04740715
2022-01-10,2.947203,835.5890410958906,442595315.3646942,179589069.1961878
2022-01-11,2.946753,835.8767123287673,442983457.17613375,180057041.34496844
2022-01-12,2.957311,836.1643835616441,443371598.9875733,180525013.49374908
2022-01-13,2.984292,836.4520547945208,443759740.7990129,180992985.64252973
2022-01-14,2.995123,836.7397260273975,444147882.6104525,181460957.79131037
2022-01-15,2.98228,837.0273972602743,444536024.42189205,181928929.940091
2022-01-16,2.98228,837.315068493151,444924166.2333316,182396902.08887166
2022-01-17,2.980273,837.6027397260277,445312308.0447712,182864874.2376523
2022-01-18,2.982815,837.8904109589045,445700449.85621077,183332846.38643295
2022-01-19,2.957464,838.1780821917812,446088591.66765034,183800818.5352136
2022-01-20,2.967813,838.4657534246579,446476733.4790899,184268790.68399423
2022-01-21,2.952794,838.7534246575347,446864875.2905295,184736762.83277488
2022-01-22,2.963638,839.0410958904114,447253017.10196906,185204734.98155552
2022-01-23,2.963638,839.3287671232881,447641158.91340864,185672707.13033617
2022-01-24,2.961622,839.6164383561648,448029300.7248482,186140679.2791168
