,Rate,Gdp,Import,Export
2021-12-17,4.250365,1098937.5479452247,256375912328.76434,439331336667.6945
2021-12-18,4.217793,1099579.778082211,256498371506.84653,439767993032.2743
2021-12-19,4.217793,1100222.0082191974,256620830684.9287,440204649396.85406
2021-12-20,4.220679,1100864.2383561837,256743289863.0109,440641305761.43384
2021-12-21,4.235905,1101506.46849317,256865749041.09308,441077962126.0136
2021-12-22,4.238965,1102148.6986301565,256988208219.17526,441514618490.5934
2021-12-23,4.256993,1102790.9287671428,257110667397.25745,441951274855.17316
2021-12-24,4.252606,1103433.1589041292,257233126575.33963,442387931219.7529
2021-12-25,4.257849,1104075.3890411155,257355585753.4218,442824587584.3327
2021-12-26,4.257849,1104717.619178102,257478044931.504,443261243948.9125
2021-12-27,4.251526,1105359.8493150882,257600504109.58618,443697900313.49225
2021-12-28,4.253043,1106002.0794520746,257722963287.66837,444134556678.072
2021-12-29,4.244675,1106644.309589061,257845422465.75055,444571213042.6518
2021-12-30,4.259684,1107286.5397260473,257967881643.83273,445007869407.23157
2021-12-31,4.250848,1107928.7698630337,258090340821.91492,445444525771.81134
2022-01-01,4.269042,1108571.0,258212800000.0,445881182136.38
2022-01-02,4.269042,1108458.704109589,258304174611.87213,445669811278.48193
2022-01-03,4.268107,1108346.4082191782,258395549223.74426,445458440420.58386
2022-01-04,4.244493,1108234.1123287673,258486923835.6164,445247069562.6858
2022-01-05,4.238554,1108121.8164383564,258578298447.48853,445035698704.7877
2022-01-06,4.250072,1108009.5205479455,258669673059.36066,444824327846.88965
2022-01-07,4.241387,1107897.2246575346,258761047671.2328,444612956988.9916
2022-01-08,4.264837,1107784.9287671237,258852422283.10492,444401586131.0935
2022-01-09,4.265341,1107672.6328767128,258943796894.97705,444190215273.19543
2022-01-10,4.255021,1107560.336986302,259035171506.84918,443978844415.29736
2022-01-11,4.254025,1107448.041095891,259126546118.7213,443767473557.3993
2022-01-12,4.268934,1107335.7452054801,259217920730.59344,443556102699.5012
2022-01-13,4.294455,1107223.4493150692,259309295342.46558,443344731841.60315
2022-01-14,4.303172,1107111.1534246583,259400669954.3377,443133360983.7051
2022-01-15,4.283487,1106998.8575342475,259492044566.20984,442921990125.807
2022-01-16,4.283487,1106886.5616438366,259583419178.08197,442710619267.90894
2022-01-17,4.281016,1106774.2657534257,259674793789.9541,442499248410.01086
2022-01-18,4.284273,1106661.9698630148,259766168401.82623,442287877552.1128
2022-01-19,4.247713,1106549.6739726039,259857543013.69836,442076506694.2147
2022-01-20,4.261882,1106437.378082193,259948917625.5705,441865135836.31665
2022-01-21,4.239986,1106325.082191782,260040292237.44263,441653764978.4186
2022-01-22,4.255407,1106212.7863013712,260131666849.31476,441442394120.5205
2022-01-23,4.255407,1106100.4904109603,260223041461.1869,441231023262.62244
