,Rate,Gdp,Import,Export
2021-12-17,14.968023,1996.301369863047,1992955959.1222951,2226727969.975936
2021-12-18,14.955767,1997.747945205513,1994252038.6050656,2228086730.992935
2021-12-19,14.955767,1999.1945205479788,1995548118.087836,2229445492.0099344
2021-12-20,14.987147,2000.6410958904446,1996844197.5706065,2230804253.0269337
2021-12-21,15.369338,2002.0876712329105,1998140277.053377,2232163014.043933
2021-12-22,14.972962,2003.5342465753763,1999436356.5361474,2233521775.060932
2021-12-23,14.765968,2004.9808219178421,2000732436.0189178,2234880536.0779314
2021-12-24,15.056932,2006.427397260308,2002028515.5016882,2236239297.0949306
2021-12-25,15.077782,2007.8739726027738,2003324594.9844587,2237598058.11193
2021-12-26,15.077782,2009.3205479452397,2004620674.4672291,2238956819.128929
2021-12-27,15.050118,2010.7671232877055,2005916753.9499996,2240315580.1459284
2021-12-28,15.683074,2012.2136986301714,2007212833.43277,2241674341.1629276
2021-12-29,14.934581,2013.6602739726372,2008508912.9155405,2243033102.179927
2021-12-30,15.5667,2015.106849315103,2009804992.398311,2244391863.196926
2021-12-31,15.420932,2016.553424657569,2011101071.8810813,2245750624.2139254
2022-01-01,15.472979,2018.0,2012397151.36384,2247109385.23092
2022-01-02,15.472979,2018.4630136986302,2012721874.6452444,2247459923.0354505
2022-01-03,15.464136,2018.9260273972604,2013046597.9266486,2247810460.839981
2022-01-04,15.215658,2019.3890410958907,2013371321.2080529,2248160998.6445117
2022-01-05,15.337613,2019.8520547945209,2013696044.4894571,2248511536.4490423
2022-01-06,15.868428,2020.315068493151,2014020767.7708614,2248862074.253573
2022-01-07,15.809388,2020.7780821917813,2014345491.0522656,2249212612.0581036
2022-01-08,15.763767,2021.2410958904115,2014670214.33367,2249563149.862634
2022-01-09,17.024406,2021.7041095890418,2014994937.6150742,2249913687.667165
2022-01-10,16.983898,2022.167123287672,2015319660.8964784,2250264225.4716954
2022-01-11,17.005032,2022.6301369863022,2015644384.1778827,2250614763.276226
2022-01-12,16.008242,2023.0931506849324,2015969107.459287,2250965301.0807567
2022-01-13,15.783675,2023.5561643835626,2016293830.7406912,2251315838.8852873
2022-01-14,14.917942,2024.0191780821929,2016618554.0220954,2251666376.689818
2022-01-15,17.060903,2024.482191780823,2016943277.3034997,2252016914.4943485
2022-01-16,17.060903,2024.9452054794533,2017268000.584904,2252367452.298879
2022-01-17,17.049419,2025.4082191780835,2017592723.8663082,2252717990.10341
2022-01-18,15.515994,2025.8712328767137,2017917447.1477125,2253068527.9079404
2022-01-19,15.298173,2026.334246575344,2018242170.4291167,2253419065.712471
2022-01-20,15.376745,2026.7972602739742,2018566893.710521,2253769603.5170016
2022-01-21,15.249508,2027.2602739726044,2018891616.9919252,2254120141.3215322
2022-01-22,15.083141,2027.7232876712346,2019216340.2733295,2254470679.126063
2022-01-23,15.083141,2028.1863013698649,2019541063.5547338,2254821216.9305935
2022-01-24,15.072882,2028.649315068495,2019865786.836138,2255171754.735124
2022-01-25,16.626247,2029.1123287671253,2020190510.1175423,2255522292.5396547
2022-01-26,15.17249,2029.5753424657555,2020515233.3989465,2255872830.3441854
2022-01-27,14.747873,2030.0383561643857,2020839956.6803508,2256223368.148716
2022-01-28,15.101498,2030.501369863016,2021164679.961755,2256573905.9532466
2022-01-29,14.743603,2030.9643835616462,2021489403.2431593,2256924443.757777
2022-01-30,14.743603,2031.4273972602764,2021814126.5245636,2257274981.562308
2022-01-31,16.052847,2031.8904109589066,2022138849.8059678,2257625519.3668385
2022-02-01,15.394742,2032.3534246575368,2022463573.087372,2257976057.171369
2022-02-02,16.406398,2032.816438356167,2022788296.3687763,2258326594.9758997
2022-02-03,15.301148,2033.2794520547973,2023113019.6501806,2258677132.7804303
2022-02-04,14.846427,2033.7424657534275,2023437742.9315848,2259027670.584961
2022-02-05,15.209275,2034.2054794520577,2023762466.212989,2259378208.3894916
2022-02-06,15.209275,2034.668493150688,2024087189.4943933,2259728746.194022
2022-02-07,15.213879,2035.1315068493182,2024411912.7757976,2260079283.998553
2022-02-08,15.602927,2035.5945205479484,2024736636.0572019,2260429821.8030834
2022-02-09,14.989713,2036.0575342465786,2025061359.338606,2260780359.607614
2022-02-10,15.346882,2036.5205479452088,2025386082.6200104,2261130897.4121447
2022-02-11,16.546524,2036.983561643839,2025710805.9014146,2261481435.2166753
2022-02-12,14.852127,2037.4465753424693,2026035529.182819,2261831973.021206
2022-02-13,14.852127,2037.9095890410995,2026360252.4642231,2262182510.8257365
2022-02-14,14.857676,2038.3726027397297,2026684975.7456274,2262533048.630267
2022-02-15,15.141217,2038.83561643836,2027009699.0270317,2262883586.434798
2022-02-16,14.701927,2039.2986301369901,2027334422.308436,2263234124.2393284
2022-02-17,15.22097,2039.7616438356204,2027659145.5898402,2263584662.043859
2022-02-18,15.582028,2040.2246575342506,2027983868.8712444,2263935199.8483896
2022-02-19,16.414524,2040.6876712328808,2028308592.1526487,2264285737.6529202
2022-02-20,16.414524,2041.150684931511,2028633315.434053,2264636275.457451
2022-02-21,16.411348,2041.6136986301412,2028958038.7154572,2264986813.2619815
2022-02-22,14.808308,2042.0767123287715,2029282761.9968615,2265337351.066512
2022-02-23,14.97651,2042.5397260274017,2029607485.2782657,2265687888.8710427
2022-02-24,14.951889,2043.002739726032,2029932208.55967,2266038426.6755733
2022-02-25,16.117427,2043.4657534246621,2030256931.8410742,2266388964.480104
2022-02-26,16.234674,2043.9287671232923,2030581655.1224785,2266739502.2846346
2022-02-27,16.234674,2044.3917808219226,2030906378.4038827,2267090040.089165
2022-02-28,16.079475,2044.8547945205528,2031231101.685287,2267440577.893696
2022-03-01,16.134457,2045.317808219183,2031555824.9666913,2267791115.6982265
2022-03-02,16.022398,2045.7808219178132,2031880548.2480955,2268141653.502757
2022-03-03,15.983571,2046.2438356164434,2032205271.5294998,2268492191.3072877
2022-03-04,15.874181,2046.7068493150737,2032529994.810904,2268842729.1118183
2022-03-05,15.770417,2047.169863013704,2032854718.0923083,2269193266.916349
2022-03-06,15.770417,2047.632876712334,2033179441.3737125,2269543804.7208796
2022-03-07,15.631545,2048.0958904109643,2033504164.6551168,2269894342.52541
2022-03-08,15.629748,2048.5589041095946,2033828887.936521,2270244880.329941
2022-03-09,15.72566,2049.0219178082248,2034153611.2179253,2270595418.1344714
2022-03-10,15.91941,2049.484931506855,2034478334.4993296,2270945955.939002
2022-03-11,15.833685,2049.947945205485,2034803057.7807338,2271296493.7435327
2022-03-12,15.722845,2050.4109589041154,2035127781.062138,2271647031.5480633
2022-03-13,15.722845,2050.8739726027457,2035452504.3435423,2271997569.352594
2022-03-14,15.727485,2051.336986301376,2035777227.6249466,2272348107.1571245
2022-03-15,15.777012,2051.800000000006,2036101950.9063509,2272698644.961655
2022-03-16,15.797956,2052.2630136986363,2036426674.187755,2273049182.7661858
2022-03-17,15.918847,2052.7260273972665,2036751397.4691594,2273399720.5707164
2022-03-18,16.000988,2053.1890410958968,2037076120.7505636,2273750258.375247
2022-03-19,15.939077,2053.652054794527,2037400844.0319679,2274100796.1797776
2022-03-20,15.939077,2054.115068493157,2037725567.3133721,2274451333.9843082
2022-03-21,15.917162,2054.5780821917874,2038050290.5947764,2274801871.788839
2022-03-22,15.858267,2055.0410958904176,2038375013.8761806,2275152409.5933695
2022-03-23,15.890282,2055.504109589048,2038699737.157585,2275502947.3979
2022-03-24,15.849835,2055.967123287678,2039024460.4389892,2275853485.2024307
2022-03-25,15.871732,2056.4301369863083,2039349183.7203934,2276204023.0069613
2022-03-26,15.833098,2056.8931506849385,2039673907.0017977,2276554560.811492
2022-03-27,15.832865,2057.3561643835687,2039998630.283202,2276905098.6160226
2022-03-28,15.852033,2057.819178082199,2040323353.5646062,2277255636.420553
2022-03-29,15.969786,2058.282191780829,2040648076.8460104,2277606174.225084
2022-03-30,16.076713,2058.7452054794594,2040972800.1274147,2277956712.0296144
2022-03-31,15.973188,2059.2082191780896,2041297523.408819,2278307249.834145
2022-04-01,15.920462,2059.67123287672,2041622246.6902232,2278657787.6386757
2022-04-02,15.937807,2060.13424657535,2041946969.9716275,2279008325.4432063
2022-04-03,15.937855,2060.5972602739803,2042271693.2530317,2279358863.247737
2022-04-04,15.817136,2061.0602739726105,2042596416.534436,2279709401.0522676
2022-04-05,15.71886,2061.5232876712407,2042921139.8158402,2280059938.856798
2022-04-06,15.730482,2061.986301369871,2043245863.0972445,2280410476.661329
2022-04-07,15.722589,2062.449315068501,2043570586.3786488,2280761014.4658594
2022-04-08,15.658745,2062.9123287671314,2043895309.660053,2281111552.27039
2022-04-09,15.679307,2063.3753424657616,2044220032.9414573,2281462090.0749207
2022-04-10,15.679307,2063.838356164392,2044544756.2228615,2281812627.8794513
2022-04-11,15.693311,2064.301369863022,2044869479.5042658,2282163165.683982
2022-04-12,15.684076,2064.7643835616523,2045194202.78567,2282513703.4885125
2022-04-13,15.60596,2065.2273972602825,2045518926.0670743,2282864241.293043
2022-04-14,15.692004,2065.6904109589127,2045843649.3484786,2283214779.0975738
2022-04-15,15.579789,2066.153424657543,2046168372.6298828,2283565316.9021044
2022-04-16,15.519033,2066.616438356173,2046493095.911287,2283915854.706635
