,Rate,Gdp,Import,Export
2021-12-17,12718.510645,7120.890410958909,2008998490.4181538,1191163104.770956
2021-12-18,12609.144515,7120.764383561649,2009292462.511125,1191913031.8253965
2021-12-19,12609.144515,7120.638356164389,2009586434.6040964,1192662958.8798375
2021-12-20,12615.822693,7120.512328767129,2009880406.6970677,1193412885.934278
2021-12-21,12668.893426,7120.386301369868,2010174378.790039,1194162812.988719
2021-12-22,12673.624254,7120.260273972608,2010468350.8830104,1194912740.0431595
2021-12-23,12727.695991,7120.134246575348,2010762322.9759817,1195662667.0976005
2021-12-24,12831.620114,7120.0082191780875,2011056295.068953,1196412594.152041
2021-12-25,12854.329289,7119.882191780827,2011350267.1619244,1197162521.206482
2021-12-26,12854.329289,7119.756164383567,2011644239.2548957,1197912448.2609224
2021-12-27,12830.74356,7119.630136986307,2011938211.347867,1198662375.3153634
2021-12-28,12837.137865,7119.5041095890465,2012232183.4408383,1199412302.369804
2021-12-29,12809.30887,7119.378082191786,2012526155.5338097,1200162229.4242449
2021-12-30,12860.587116,7119.252054794526,2012820127.626781,1200912156.4786854
2021-12-31,12805.690502,7119.126027397266,2013114099.7197523,1201662083.5331264
2022-01-01,12798.57213,7119.0,2013408071.81272,1202412010.58758
2022-01-02,12798.57213,7117.021917808219,2013925096.3449101,1202902767.3784068
2022-01-03,12791.25821,7115.043835616438,2014442120.8771002,1203393524.1692336
2022-01-04,12719.266043,7113.065753424657,2014959145.4092903,1203884280.9600604
2022-01-05,12709.879652,7111.087671232875,2015476169.9414804,1204375037.7508872
2022-01-06,12752.547415,7109.109589041094,2015993194.4736705,1204865794.541714
2022-01-07,12799.369294,7107.131506849313,2016510219.0058606,1205356551.3325408
2022-01-08,12878.480885,7105.153424657532,2017027243.5380507,1205847308.1233675
2022-01-09,12878.480885,7103.175342465751,2017544268.0702407,1206338064.9141943
2022-01-10,12847.828452,7101.19726027397,2018061292.6024308,1206828821.7050211
2022-01-11,12857.199247,7099.219178082189,2018578317.134621,1207319578.495848
2022-01-12,12913.498518,7097.241095890407,2019095341.666811,1207810335.2866747
2022-01-13,12986.195599,7095.263013698626,2019612366.199001,1208301092.0775015
2022-01-14,13025.697561,7093.284931506845,2020129390.7311912,1208791848.8683283
2022-01-15,12980.693836,7091.306849315064,2020646415.2633812,1209282605.6591551
2022-01-16,12980.693836,7089.328767123283,2021163439.7955713,1209773362.449982
2022-01-17,12971.960293,7087.350684931502,2021680464.3277614,1210264119.2408087
2022-01-18,12983.02437,7085.372602739721,2022197488.8599515,1210754876.0316355
2022-01-19,12877.77157,7083.3945205479395,2022714513.3921416,1211245632.8224623
2022-01-20,12897.273536,7081.416438356158,2023231537.9243317,1211736389.613289
2022-01-21,12800.919535,7079.438356164377,2023748562.4565217,1212227146.404116
2022-01-22,12853.602059,7077.460273972596,2024265586.9887118,1212717903.1949427
2022-01-23,12853.602059,7075.482191780815,2024782611.520902,1213208659.9857695
2022-01-24,12844.858247,7073.504109589034,2025299636.053092,1213699416.7765963
2022-01-25,12821.165873,7071.526027397253,2025816660.585282,1214190173.567423
2022-01-26,12805.081804,7069.5479452054715,2026333685.1174722,1214680930.35825
2022-01-27,12732.5227,7067.56986301369,2026850709.6496623,1215171687.1490767
2022-01-28,12771.930932,7065.591780821909,2027367734.1818523,1215662443.9399035
2022-01-29,12786.634772,7063.613698630128,2027884758.7140424,1216153200.7307303
2022-01-30,12786.634772,7061.635616438347,2028401783.2462325,1216643957.521557
2022-01-31,12783.861453,7059.657534246566,2028918807.7784226,1217134714.312384
2022-02-01,12887.023572,7057.679452054785,2029435832.3106127,1217625471.1032107
2022-02-02,12910.574506,7055.7013698630035,2029952856.8428028,1218116227.8940375
2022-02-03,12936.025965,7053.723287671222,2030469881.3749928,1218606984.6848643
2022-02-04,13100.398084,7051.745205479441,2030986905.907183,1219097741.475691
2022-02-05,13081.001416,7049.76712328766,2031503930.439373,1219588498.2665179
2022-02-06,13081.001416,7047.789041095879,2032020954.971563,1220079255.0573447
2022-02-07,13084.960665,7045.810958904098,2032537979.5037532,1220570011.8481715
2022-02-08,12974.903011,7043.832876712317,2033055004.0359433,1221060768.6389983
2022-02-09,12943.681131,7041.8547945205355,2033572028.5681334,1221551525.429825
2022-02-10,13046.685388,7039.876712328754,2034089053.1003234,1222042282.2206519
2022-02-11,13195.319324,7037.898630136973,2034606077.6325135,1222533039.0114787
2022-02-12,13068.830651,7035.920547945192,2035123102.1647036,1223023795.8023055
2022-02-13,13068.830651,7033.942465753411,2035640126.6968937,1223514552.5931323
2022-02-14,13073.713276,7031.96438356163,2036157151.2290838,1224005309.383959
2022-02-15,13120.613345,7029.986301369849,2036674175.7612739,1224496066.1747859
2022-02-16,13075.791737,7028.0082191780675,2037191200.293464,1224986822.9656126
2022-02-17,13068.586099,7026.030136986286,2037708224.825654,1225477579.7564394
2022-02-18,12947.038187,7024.052054794505,2038225249.357844,1225968336.5472662
2022-02-19,13085.880827,7022.073972602724,2038742273.8900342,1226459093.338093
2022-02-20,13085.880827,7020.095890410943,2039259298.4222243,1226949850.1289198
2022-02-21,13083.365039,7018.117808219162,2039776322.9544144,1227440606.9197466
2022-02-22,13078.603312,7016.139726027381,2040293347.4866045,1227931363.7105734
2022-02-23,13104.221117,7014.1616438355995,2040810372.0187945,1228422120.5014002
2022-02-24,13034.985118,7012.183561643818,2041327396.5509846,1228912877.292227
2022-02-25,13087.956324,7010.205479452037,2041844421.0831747,1229403634.0830538
2022-02-26,13188.982294,7008.227397260256,2042361445.6153648,1229894390.8738806
