,Rate,Gdp,Import,Export
2021-12-17,1.545135,506041.5479452084,740049688819.3842,941204938353.0385
2021-12-18,1.537271,506239.9780821947,740337286219.1155,941614954068.2528
2021-12-19,1.537271,506438.408219181,740624883618.8468,942024969783.4672
2021-12-20,1.537964,506636.8383561673,740912481018.5781,942434985498.6815
2021-12-21,1.541279,506835.2684931536,741200078418.3094,942845001213.8959
2021-12-22,1.539284,507033.69863013993,741487675818.0408,943255016929.1102
2021-12-23,1.543799,507232.12876712624,741775273217.7721,943665032644.3246
2021-12-24,1.53855,507430.55890411255,742062870617.5034,944075048359.539
2021-12-25,1.541276,507628.98904109886,742350468017.2347,944485064074.7533
2021-12-26,1.541276,507827.41917808517,742638065416.9661,944895079789.9677
2021-12-27,1.535529,508025.8493150715,742925662816.6974,945305095505.182
2021-12-28,1.535814,508224.2794520578,743213260216.4287,945715111220.3964
2021-12-29,1.530405,508422.7095890441,743500857616.16,946125126935.6107
2021-12-30,1.53269,508621.1397260304,743788455015.8914,946535142650.8251
2021-12-31,1.529776,508819.5698630167,744076052415.6227,946945158366.0394
2022-01-01,1.533612,509018.0,744363649815.365,947355174081.236
2022-01-02,1.533612,509008.19726027397,744320186619.4957,947273880161.9128
2022-01-03,1.532871,508998.39452054794,744276723423.6265,947192586242.5897
2022-01-04,1.530385,508988.5917808219,744233260227.7572,947111292323.2666
2022-01-05,1.530914,508978.7890410959,744189797031.888,947029998403.9435
2022-01-06,1.535799,508968.98630136985,744146333836.0187,946948704484.6204
2022-01-07,1.536111,508959.1835616438,744102870640.1494,946867410565.2972
2022-01-08,1.542555,508949.3808219178,744059407444.2802,946786116645.9741
2022-01-09,1.540055,508939.57808219176,744015944248.4109,946704822726.651
2022-01-10,1.53652,508929.7753424657,743972481052.5416,946623528807.3279
2022-01-11,1.535997,508919.9726027397,743929017856.6724,946542234888.0048
2022-01-12,1.535596,508910.16986301367,743885554660.8031,946460940968.6816
2022-01-13,1.540231,508900.36712328764,743842091464.9338,946379647049.3585
2022-01-14,1.542899,508890.5643835616,743798628269.0646,946298353130.0354
2022-01-15,1.538635,508880.7616438356,743755165073.1953,946217059210.7123
2022-01-16,1.538635,508870.95890410955,743711701877.326,946135765291.3892
2022-01-17,1.538535,508861.1561643835,743668238681.4568,946054471372.066
