,Rate,Gdp,Import,Export
2021-12-17,9.174179,1564.2328767123654,801964606.8596526,411453586.0939246
2021-12-18,9.096028,1564.3506849315436,802538895.3109385,411447289.9659866
2021-12-19,9.096028,1564.4684931507218,803113183.7622243,411440993.83804864
2021-12-20,9.100846,1564.5863013699,803687472.2135102,411434697.71011066
2021-12-21,9.140431,1564.7041095890781,804261760.664796,411428401.5821727
2021-12-22,9.145909,1564.8219178082563,804836049.1160818,411422105.4542347
2021-12-23,9.177459,1564.9397260274345,805410337.5673677,411415809.32629675
2021-12-24,9.174075,1565.0575342466127,805984626.0186535,411409513.1983588
2021-12-25,9.182524,1565.175342465791,806558914.4699394,411403217.0704208
2021-12-26,9.182524,1565.293150684969,807133202.9212252,411396920.9424828
2021-12-27,9.165676,1565.4109589041473,807707491.372511,411390624.81454486
2021-12-28,9.173971,1565.5287671233255,808281779.8237969,411384328.6866069
2021-12-29,9.157779,1565.6465753425036,808856068.2750827,411378032.5586689
2021-12-30,9.19447,1565.7643835616818,809430356.7263685,411371736.43073094
2021-12-31,9.164303,1565.88219178086,810004645.1776544,411365440.30279297
2022-01-01,9.203967,1566.0,,411359144.174845
2022-01-02,9.203967,1566.2602739726028,,411728090.78695166
2022-01-03,9.198707,1566.5205479452056,,412097037.39905834
2022-01-04,9.143599,1566.7808219178085,,412465984.011165
2022-01-05,9.12136,1567.0410958904113,,412834930.6232717
2022-01-06,9.143896,1567.301369863014,,413203877.2353784
2022-01-07,9.136251,1567.561643835617,,413572823.84748507
2022-01-08,9.18863,1567.8219178082197,,413941770.45959175
2022-01-09,9.18863,1568.0821917808225,,414310717.0716984
2022-01-10,9.16676,1568.3424657534254,,414679663.6838051
2022-01-11,9.157954,1568.6027397260282,,415048610.2959118
2022-01-12,9.1908,1568.863013698631,,415417556.90801847
2022-01-13,9.238331,1569.1232876712338,,415786503.52012515
2022-01-14,9.257461,1569.3835616438366,,416155450.13223183
2022-01-15,9.195539,1569.6438356164394,,416524396.7443385
2022-01-16,9.195539,1569.9041095890423,,416893343.3564452
2022-01-17,9.189349,1570.164383561645,,417262289.9685519
2022-01-18,9.197189,1570.424657534248,,417631236.58065856
2022-01-19,9.126374,1570.6849315068507,,418000183.19276524
2022-01-20,9.15826,1570.9452054794535,,418369129.8048719
2022-01-21,9.104575,1571.2054794520564,,418738076.4169786
2022-01-22,9.152755,1571.4657534246592,,419107023.0290853
2022-01-23,9.152755,1571.726027397262,,419475969.64119196
2022-01-24,9.14653,1571.9863013698648,,419844916.25329864
2022-01-25,9.141064,1572.2465753424676,,420213862.8654053
2022-01-26,9.11817,1572.5068493150704,,420582809.477512
2022-01-27,9.062538,1572.7671232876733,,420951756.0896187
2022-01-28,8.998692,1573.027397260276,,421320702.70172536
2022-01-29,8.993935,1573.287671232879,,421689649.31383204
2022-01-30,8.993935,1573.5479452054817,,422058595.9259387
2022-01-31,8.991985,1573.8082191780845,,422427542.5380454
2022-02-01,9.118279,1574.0684931506873,,422796489.1501521
2022-02-02,9.141189,1574.3287671232902,,423165435.76225877
2022-02-03,9.15921,1574.589041095893,,423534382.37436545
2022-02-04,9.278245,1574.8493150684958,,423903328.98647213
2022-02-05,9.274606,1575.1095890410986,,424272275.5985788
2022-02-06,9.274606,1575.3698630137014,,424641222.2106855
2022-02-07,9.277413,1575.6301369863043,,425010168.8227922
2022-02-08,9.264642,1575.890410958907,,425379115.43489885
2022-02-09,9.242349,1576.1506849315099,,425748062.04700553
2022-02-10,9.250275,1576.4109589041127,,426117008.6591122
2022-02-11,9.226945,1576.6712328767155,,426485955.2712189
2022-02-12,9.178684,1576.9315068493183,,426854901.8833256
2022-02-13,9.178684,1577.1917808219212,,427223848.49543226
2022-02-14,9.182114,1577.452054794524,,427592795.10753894
2022-02-15,9.140137,1577.7123287671268,,427961741.7196456
2022-02-16,9.183574,1577.9726027397296,,428330688.3317523
2022-02-17,9.195051,1578.2328767123324,,428699634.943859
2022-02-18,9.175797,1578.4931506849352,,429068581.55596566
2022-02-19,9.149496,1578.753424657538,,429437528.16807234
2022-02-20,9.149496,1579.0136986301409,,429806474.780179
2022-02-21,9.147726,1579.2739726027437,,430175421.3922857
2022-02-22,9.144414,1579.5342465753465,,430544368.0043924
2022-02-23,9.158318,1579.7945205479493,,430913314.61649907
2022-02-24,9.11585,1580.0547945205522,,431282261.22860575
2022-02-25,9.028734,1580.315068493155,,431651207.8407124
2022-02-26,9.109236,1580.5753424657578,,432020154.4528191
2022-02-27,9.109236,1580.8356164383606,,432389101.0649258
2022-02-28,9.024939,1581.0958904109634,,432758047.6770325
2022-03-01,9.054197,1581.3561643835662,,433126994.28913915
2022-03-02,8.990199,1581.616438356169,,433495940.90124583
2022-03-03,8.971131,1581.8767123287719,,433864887.5133525
2022-03-04,8.890198,1582.1369863013747,,434233834.1254592
2022-03-05,8.821717,1582.3972602739775,,434602780.7375659
2022-03-06,8.821717,1582.6575342465803,,434971727.34967256
2022-03-07,8.744034,1582.9178082191831,,435340673.96177924
2022-03-08,8.739081,1583.178082191786,,435709620.5738859
2022-03-09,8.782681,1583.4383561643888,,436078567.1859926
2022-03-10,8.892255,1583.6986301369916,,436447513.7980993
2022-03-11,8.84236,1583.9589041095944,,436816460.41020596
2022-03-12,8.782381,1584.2191780821972,,437185407.02231264
2022-03-13,8.782381,1584.4794520548,,437554353.6344193
2022-03-14,8.784973,1584.7397260274029,,437923300.246526
2022-03-15,8.808522,1585.0000000000057,,438292246.8586327
2022-03-16,8.820665,1585.2602739726085,,438661193.47073936
2022-03-17,8.88751,1585.5205479452113,,439030140.08284605
2022-03-18,8.933978,1585.7808219178141,,439399086.6949527
2022-03-19,8.896374,1586.041095890417,,439768033.3070594
2022-03-20,8.896374,1586.3013698630198,,440136979.9191661
2022-03-21,8.884142,1586.5616438356226,,440505926.53127277
2022-03-22,8.854269,1586.8219178082254,,440874873.14337945
2022-03-23,8.864568,1587.0821917808282,,441243819.75548613
2022-03-24,8.837477,1587.342465753431,,441612766.3675928
2022-03-25,8.840101,1587.6027397260339,,441981712.9796995
2022-03-26,8.825728,1587.8630136986367,,442350659.5918062
2022-03-27,8.825728,1588.1232876712395,,442719606.20391285
2022-03-28,8.836313,1588.3835616438423,,443088552.81601954
2022-03-29,8.891395,1588.6438356164451,,443457499.4281262
2022-03-30,8.939951,1588.904109589048,,443826446.0402329
2022-03-31,8.883035,1589.1643835616508,,444195392.6523396
2022-04-01,8.859639,1589.4246575342536,,444564339.26444626
2022-04-02,8.863616,1589.6849315068564,,444933285.87655294
2022-04-03,8.863642,1589.9452054794592,,445302232.4886596
2022-04-04,8.795621,1590.205479452062,,445671179.1007663
2022-04-05,8.748057,1590.4657534246649,,446040125.712873
2022-04-06,8.744306,1590.7260273972677,,446409072.32497966
2022-04-07,8.743494,1590.9863013698705,,446778018.93708634
2022-04-08,8.707623,1591.2465753424733,,447146965.549193
2022-04-09,8.711182,1591.5068493150761,,447515912.1612997
2022-04-10,8.711182,1591.767123287679,,447884858.7734064
2022-04-11,8.718963,1592.0273972602818,,448253805.38551307
2022-04-12,8.704597,1592.2876712328846,,448622751.99761975
2022-04-13,8.663886,1592.5479452054874,,448991698.6097264
2022-04-14,8.708382,1592.8082191780902,,449360645.2218331
2022-04-15,8.643294,1593.068493150693,,449729591.8339398
2022-04-16,8.65159,1593.3287671232958,,450098538.4460465
2022-04-17,8.65159,1593.5890410958987,,450467485.05815315
2022-04-18,8.639213,1593.8493150685015,,450836431.67025983
2022-04-20,8.638185,1594.3698630137071,,451574324.8944732
2022-04-21,8.707713,1594.63013698631,,451943271.5065799
2022-04-22,8.689329,1594.8904109589128,,452312218.11868656
2022-04-23,8.65684,1595.1506849315156,,452681164.73079324
2022-04-24,8.65684,1595.4109589041184,,453050111.3428999
2022-04-25,8.66096,1595.6712328767212,,453419057.9550066
2022-04-26,8.585005,1595.931506849324,,453788004.5671133
2022-04-27,8.529181,1596.1917808219268,,454156951.17921996
2022-04-28,8.489435,1596.4520547945297,,454525897.79132664
2022-04-29,8.440136,1596.7123287671325,,454894844.4034333
2022-04-30,8.473016,1596.9726027397353,,455263791.01554
2022-05-01,8.473016,1597.232876712338,,455632737.6276467
2022-05-02,8.460752,1597.493150684941,,456001684.23975337
2022-05-03,8.44556,1597.7534246575437,,456370630.85186005
2022-05-04,8.452696,1598.0136986301466,,456739577.4639667
2022-05-05,8.580327,1598.2739726027494,,457108524.0760734
2022-05-06,8.506979,1598.5342465753522,,457477470.6881801
2022-05-07,8.516883,1598.794520547955,,457846417.30028677
2022-05-08,8.516883,1599.0547945205578,,458215363.91239345
2022-05-09,8.499671,1599.3150684931607,,458584310.52450013
2022-05-10,8.524133,1599.5753424657635,,458953257.1366068
2022-05-11,8.53176,1599.8356164383663,,459322203.7487135
2022-05-12,8.543923,1600.095890410969,,459691150.3608202
2022-05-13,8.435065,1600.356164383572,,460060096.97292686
2022-05-14,8.460578,1600.6164383561747,,460429043.58503354
2022-05-15,8.460578,1600.8767123287776,,460797990.1971402
2022-05-16,8.452215,1601.1369863013804,,461166936.8092469
2022-05-17,8.483475,1601.3972602739832,,461535883.4213536
2022-05-18,8.572651,1601.657534246586,,461904830.03346026
2022-05-19,8.506255,1601.9178082191888,,462273776.64556694
2022-05-20,8.592684,1602.1780821917916,,462642723.2576736
2022-05-21,8.580469,1602.4383561643945,,463011669.8697803
2022-05-22,8.580469,1602.6986301369973,,463380616.481887
2022-05-23,8.586822,1602.9589041096,,463749563.09399366
2022-05-24,8.677351,1603.219178082203,,464118509.70610034
2022-05-25,8.710897,1603.4794520548057,,464487456.318207
2022-05-26,8.690115,1603.7397260274086,,464856402.9303137
2022-05-27,8.720718,1604.0000000000114,,465225349.5424204
2022-05-28,8.724423,1604.2602739726142,,465594296.15452707
2022-05-29,8.724423,1604.520547945217,,465963242.76663375
2022-05-30,8.719131,1604.7808219178198,,466332189.37874043
2022-05-31,8.753696,1605.0410958904226,,466701135.9908471
2022-06-01,8.712186,1605.3013698630255,,467070082.6029538
2022-06-02,8.646901,1605.5616438356283,,467439029.2150605
2022-06-03,8.72473,1605.821917808231,,467807975.82716715
2022-06-04,8.701254,1606.082191780834,,468176922.43927383
2022-06-05,8.701254,1606.3424657534367,,468545869.0513805
2022-06-06,8.705922,1606.6027397260395,,468914815.6634872
2022-06-07,8.66698,1606.8630136986424,,469283762.2755939
2022-06-08,8.682641,1607.1232876712452,,469652708.88770056
2022-06-09,8.695571,1607.383561643848,,470021655.49980724
2022-06-10,8.622469,1607.6438356164508,,470390602.1119139
2022-06-11,8.533863,1607.9041095890536,,470759548.7240206
2022-06-12,8.533863,1608.1643835616565,,471128495.3361273
2022-06-13,8.509161,1608.4246575342593,,471497441.94823396
2022-06-14,8.447551,1608.684931506862,,471866388.56034064
2022-06-15,8.458575,1608.945205479465,,472235335.1724473
2022-06-16,8.47715,1609.2054794520677,,472604281.784554
2022-06-17,8.545775,1609.4657534246705,,472973228.3966607
2022-06-18,8.543282,1609.7260273972734,,473342175.00876737
2022-06-19,8.543282,1609.9863013698762,,473711121.62087405
2022-06-20,8.539463,1610.246575342479,,474080068.2329807
2022-06-21,8.56363,1610.5068493150818,,474449014.8450874
2022-06-22,8.566216,1610.7671232876846,,474817961.4571941
2022-06-23,8.595412,1611.0273972602874,,475186908.0693008
2022-06-24,8.579591,1611.2876712328903,,475555854.68140745
2022-06-25,8.60735,1611.547945205493,,475924801.29351413
2022-06-26,8.60735,1611.808219178096,,476293747.9056208
2022-06-27,8.620139,1612.0684931506987,,476662694.5177275
2022-06-28,8.636987,1612.3287671233015,,477031641.1298342
2022-06-29,8.590166,1612.5890410959043,,477400587.74194086
2022-06-30,8.519509,1612.8493150685072,,477769534.35404754
2022-07-01,8.54823,1613.10958904111,,478138480.9661542
2022-07-02,8.509682,1613.3698630137128,,478507427.5782609
2022-07-03,8.509682,1613.6301369863156,,478876374.1903676
2022-07-04,8.521624,1613.8904109589184,,479245320.80247426
2022-07-05,8.511847,1614.1506849315213,,479614267.41458094
2022-07-06,8.380932,1614.410958904124,,479983214.0266876
2022-07-07,8.309961,1614.671232876727,,480352160.6387943
