,Rate,Gdp,Import,Export
2021-12-17,663.673102,10173.452054794674,7394875108.219576,
2021-12-18,656.305209,10175.421917808373,7398948465.671632,
2021-12-19,656.305209,10177.391780822072,7403021823.123688,
2021-12-20,656.652703,10179.361643835771,7407095180.575744,
2021-12-21,660.10326,10181.33150684947,7411168538.0278,
2021-12-22,650.335132,10183.30136986317,7415241895.479856,
2021-12-23,662.180476,10185.271232876868,7419315252.931911,
2021-12-24,661.40044,10187.241095890568,7423388610.383967,
2021-12-25,664.547074,10189.210958904267,7427461967.836023,
2021-12-26,664.547074,10191.180821917966,7431535325.288079,
2021-12-27,663.327453,10193.150684931665,7435608682.740135,
2021-12-28,661.392961,10195.120547945364,7439682040.192191,
2021-12-29,659.959069,10197.090410959063,7443755397.644247,
2021-12-30,664.869986,10199.060273972762,7447828755.096303,
2021-12-31,661.231215,10201.030136986461,7451902112.548359,
2022-01-01,664.093312,10203.0,7455975470.00058,
2022-01-02,664.093312,10205.098630136987,7457470899.04167,
2022-01-03,663.713804,10207.197260273973,7458966328.08276,
2022-01-04,660.271567,10209.29589041096,7460461757.12385,
2022-01-05,659.197569,10211.394520547947,7461957186.16494,
2022-01-06,663.087115,10213.493150684933,7463452615.20603,
2022-01-07,661.997677,10215.59178082192,7464948044.24712,
2022-01-08,663.523332,10217.690410958907,7466443473.28821,
2022-01-09,663.523332,10219.789041095893,7467938902.3293,
2022-01-10,661.943338,10221.88767123288,7469434331.37039,
2022-01-11,664.109289,10223.986301369867,7470929760.41148,
2022-01-12,665.351297,10226.084931506854,7472425189.45257,
2022-01-13,669.332739,10228.18356164384,7473920618.49366,
2022-01-14,670.71819,10230.282191780827,7475416047.53475,
2022-01-15,667.842913,10232.380821917814,7476911476.57584,
2022-01-16,667.842913,10234.4794520548,7478406905.61693,
2022-01-17,667.39269,10236.578082191787,7479902334.65802,
2022-01-18,667.962328,10238.676712328774,7481397763.69911,
2022-01-19,662.284716,10240.77534246576,7482893192.7402,
2022-01-20,664.602734,10242.873972602747,7484388621.78129,
2022-01-21,661.23987,10244.972602739734,7485884050.82238,
2022-01-22,663.668255,10247.07123287672,7487379479.86347,
2022-01-23,663.668255,10249.169863013707,7488874908.90456,
2022-01-24,663.216531,10251.268493150694,7490370337.94565,
2022-01-25,662.285236,10253.36712328768,7491865766.98674,
2022-01-26,661.162705,10255.465753424667,7493361196.02783,
2022-01-27,657.126297,10257.564383561654,7494856625.06892,
2022-01-28,651.970675,10259.66301369864,7496352054.11001,
2022-01-29,652.152175,10261.761643835627,7497847483.1511,
2022-01-30,652.152175,10263.860273972614,7499342912.19219,
2022-01-31,652.010775,10265.9589041096,7500838341.23328,
2022-02-01,657.701834,10268.057534246587,7502333770.27437,
2022-02-02,659.623232,10270.156164383574,7503829199.31546,
2022-02-03,660.923724,10272.25479452056,7505324628.35655,
2022-02-04,670.052537,10274.353424657547,7506820057.39764,
2022-02-05,669.793438,10276.452054794534,7508315486.43873,
2022-02-06,669.793438,10278.55068493152,7509810915.47982,
2022-02-07,669.996394,10280.649315068507,7511306344.52091,
2022-02-08,669.339832,10282.747945205494,7512801773.562,
2022-02-09,667.729954,10284.84657534248,7514297202.60309,
2022-02-10,666.894104,10286.945205479467,7515792631.64418,
2022-02-11,668.030821,10289.043835616454,7517288060.68527,
2022-02-12,662.80515,10291.14246575344,7518783489.72636,
2022-02-13,662.80515,10293.241095890427,7520278918.76745,
2022-02-14,663.052339,10295.339726027414,7521774347.80854,
2022-02-15,662.817518,10297.4383561644,7523269776.84963,
2022-02-16,663.157378,10299.536986301388,7524765205.89072,
2022-02-17,664.523808,10301.635616438374,7526260634.93181,
2022-02-18,663.398681,10303.73424657536,7527756063.9729,
2022-02-19,661.229194,10305.832876712348,7529251493.01399,
2022-02-20,661.229194,10307.931506849334,7530746922.05508,
2022-02-21,661.100604,10310.030136986321,7532242351.09617,
2022-02-22,660.861839,10312.128767123308,7533737780.13726,
2022-02-23,664.135924,10314.227397260294,7535233209.17835,
2022-02-24,661.055386,10316.326027397281,7536728638.21944,
2022-02-25,653.558659,10318.424657534268,7538224067.26053,
2022-02-26,660.576741,10320.523287671254,7539719496.3016205,
2022-02-27,660.576741,10322.621917808241,7541214925.3427105,
2022-02-28,654.463523,10324.720547945228,7542710354.3838005,
2022-03-01,654.344035,10326.819178082214,7544205783.4248905,
2022-03-02,649.718844,10328.917808219201,7545701212.465981,
2022-03-03,648.341322,10331.016438356188,7547196641.507071,
2022-03-04,645.994143,10333.115068493174,7548692070.548161,
2022-03-05,639.345261,10335.213698630161,7550187499.589251,
2022-03-06,639.345261,10337.312328767148,7551682928.630341,
2022-03-07,633.715158,10339.410958904135,7553178357.671431,
2022-03-08,636.037166,10341.509589041121,7554673786.712521,
2022-03-09,637.02577,10343.608219178108,7556169215.753611,
2022-03-10,647.185094,10345.706849315095,7557664644.794701,
2022-03-11,643.814198,10347.805479452081,7559160073.835791,
2022-03-12,637.262469,10349.904109589068,7560655502.876881,
2022-03-13,637.262469,10352.002739726055,7562150931.917971,
2022-03-14,637.450222,10354.101369863041,7563646360.959061,
2022-03-15,643.536704,10356.200000000028,7565141790.000151,
2022-03-16,641.1388,10358.298630137015,7566637219.041241,
2022-03-17,645.995119,10360.397260274001,7568132648.082331,
2022-03-18,649.372854,10362.495890410988,7569628077.123421,
2022-03-19,647.159763,10364.594520547975,7571123506.164511,
2022-03-20,647.159763,10366.693150684961,7572618935.205601,
2022-03-21,646.270108,10368.791780821948,7574114364.246691,
2022-03-22,643.578367,10370.890410958935,7575609793.287781,
2022-03-23,644.848548,10372.989041095921,7577105222.328871,
2022-03-24,643.394456,10375.087671232908,7578600651.369961,
2022-03-25,644.102718,10377.186301369895,7580096080.411051,
2022-03-26,642.53948,10379.284931506882,7581591509.452141,
2022-03-27,642.53948,10381.383561643868,7583086938.493231,
2022-03-28,643.309666,10383.482191780855,7584582367.534321,
2022-03-29,648.099116,10385.580821917842,7586077796.575411,
2022-03-30,651.305793,10387.679452054828,7587573225.616501,
2022-03-31,647.159745,10389.778082191815,7589068654.657591,
2022-04-01,644.940496,10391.876712328802,7590564083.698681,
2022-04-02,645.230018,10393.975342465788,7592059512.739771,
2022-04-03,645.231642,10396.073972602775,7593554941.780861,
2022-04-04,642.988191,10398.172602739762,7595050370.821951,
2022-04-05,636.817229,10400.271232876748,7596545799.863041,
2022-04-06,639.494097,10402.369863013735,7598041228.904131,
2022-04-07,636.995682,10404.468493150722,7599536657.945221,
2022-04-08,634.382999,10406.567123287708,7601032086.986311,
2022-04-09,630.258087,10408.665753424695,7602527516.027401,
2022-04-10,630.258087,10410.764383561682,7604022945.068491,
2022-04-11,630.811184,10412.863013698669,7605518374.109581,
2022-04-12,629.991888,10414.961643835655,7607013803.150671,
2022-04-13,626.254325,10417.060273972642,7608509232.191761,
2022-04-14,629.170595,10419.158904109629,7610004661.232851,
2022-04-15,623.09051,10421.257534246615,7611500090.273941,
2022-04-16,625.071335,10423.356164383602,7612995519.315031,
2022-04-17,625.071335,10425.454794520589,7614490948.356121,
2022-04-18,624.176507,10427.553424657575,7615986377.397211,
2022-04-20,624.933736,10431.750684931549,7618977235.479391,
2022-04-21,628.199984,10433.849315068535,7620472664.520481,
2022-04-22,628.46037,10435.947945205522,7621968093.561571,
2022-04-23,622.043757,10438.046575342509,7623463522.602661,
2022-04-24,622.043757,10440.145205479495,7624958951.643751,
2022-04-25,622.3391,10442.243835616482,7626454380.684841,
2022-04-26,621.411298,10444.342465753469,7627949809.725931,
2022-04-27,614.43576,10446.441095890455,7629445238.767021,
2022-04-28,610.733517,10448.539726027442,7630940667.808111,
2022-04-29,608.129511,10450.638356164429,7632436096.849201,
2022-04-30,610.534173,10452.736986301416,7633931525.890291,
2022-05-01,610.534173,10454.835616438402,7635426954.931381,
2022-05-02,609.650278,10456.934246575389,7636922383.972471,
2022-05-03,609.044582,10459.032876712376,7638417813.013561,
2022-05-04,609.313134,10461.131506849362,7639913242.054651,
2022-05-05,615.283788,10463.230136986349,7641408671.095741,
2022-05-06,611.079545,10465.328767123336,7642904100.136831,
2022-05-07,611.788726,10467.427397260322,7644399529.177921,
2022-05-08,611.788726,10469.526027397309,7645894958.219011,
2022-05-09,610.552244,10471.624657534296,7647390387.260101,
2022-05-10,616.534506,10473.723287671282,7648885816.301191,
2022-05-11,612.986267,10475.821917808269,7650381245.342281,
2022-05-12,613.973897,10477.920547945256,7651876674.383371,
2022-05-13,604.591456,10480.019178082242,7653372103.424461,
2022-05-14,607.985096,10482.11780821923,7654867532.465551,
2022-05-15,607.985096,10484.216438356216,7656362961.506641,
2022-05-16,607.383927,10486.315068493202,7657858390.547731,
2022-05-17,605.946878,10488.41369863019,7659353819.588821,
2022-05-18,618.923235,10490.512328767176,7660849248.629911,
2022-05-19,606.79682,10492.610958904163,7662344677.671001,
2022-05-20,613.496711,10494.70958904115,7663840106.712091,
2022-05-21,616.322587,10496.808219178136,7665335535.753181,
2022-05-22,616.322587,10498.906849315123,7666830964.794271,
2022-05-23,616.776873,10501.00547945211,7668326393.8353615,
2022-05-24,623.275777,10503.104109589096,7669821822.8764515,
2022-05-25,626.225649,10505.202739726083,7671317251.9175415,
2022-05-26,623.659483,10507.30136986307,7672812680.9586315,
2022-05-27,625.858997,10509.400000000056,7674308109.999722,
2022-05-28,625.869253,10511.498630137043,7675803539.040812,
2022-05-29,625.869253,10513.59726027403,7677298968.081902,
2022-05-30,625.489428,10515.695890411016,7678794397.122992,
2022-05-31,627.968487,10517.794520548003,7680289826.164082,
2022-06-01,627.365143,10519.89315068499,7681785255.205172,
2022-06-02,621.058972,10521.991780821976,7683280684.246262,
2022-06-03,626.652619,10524.090410958963,7684776113.287352,
2022-06-04,624.966583,10526.18904109595,7686271542.328442,
2022-06-05,624.966583,10528.287671232936,7687766971.369532,
2022-06-06,625.301366,10530.386301369923,7689262400.410622,
2022-06-07,621.941259,10532.48493150691,7690757829.451712,
2022-06-08,623.122729,10534.583561643896,7692253258.492802,
2022-06-09,624.026927,10536.682191780883,7693748687.533892,
2022-06-10,619.91334,10538.78082191787,7695244116.574982,
2022-06-11,612.139002,10540.879452054856,7696739545.616072,
2022-06-12,612.139002,10542.978082191843,7698234974.657162,
2022-06-13,610.757547,10545.07671232883,7699730403.698252,
2022-06-14,607.973185,10547.175342465816,7701225832.739342,
2022-06-15,608.797481,10549.273972602803,7702721261.780432,
2022-06-16,610.19116,10551.37260273979,7704216690.821522,
2022-06-17,615.075074,10553.471232876776,7705712119.862612,
2022-06-18,610.828958,10555.569863013763,7707207548.903702,
2022-06-19,610.828958,10557.66849315075,7708702977.944792,
2022-06-20,610.555183,10559.767123287736,7710198406.985882,
2022-06-21,612.283174,10561.865753424723,7711693836.026972,
2022-06-22,614.545073,10563.96438356171,7713189265.068062,
2022-06-23,617.166021,10566.063013698697,7714684694.109152,
2022-06-24,615.860493,10568.161643835683,7716180123.150242,
2022-06-25,617.052952,10570.26027397267,7717675552.191332,
2022-06-26,617.052952,10572.358904109657,7719170981.232422,
