,Rate,Gdp,Import,Export
2021-12-17,17.916108,407331.2876712299,126879284365.09538,136642021302.74063
2021-12-18,17.895601,407292.8684931477,126941991487.24648,136657631300.15558
2021-12-19,17.895601,407254.4493150655,127004698609.39757,136673241297.57053
2021-12-20,17.924248,407216.0301369833,127067405731.54866,136688851294.98547
2021-12-21,17.822899,407177.6109589011,127130112853.69975,136704461292.40042
2021-12-22,17.911698,407139.1917808189,127192819975.85085,136720071289.81537
2021-12-23,17.828911,407100.7726027367,127255527098.00194,136735681287.23032
2021-12-24,17.741953,407062.3534246545,127318234220.15303,136751291284.64526
2021-12-25,17.667689,407023.9342465723,127380941342.30412,136766901282.06021
2021-12-26,17.667689,406985.5150684901,127443648464.45522,136782511279.47516
2021-12-27,17.59957,406947.0958904079,127506355586.60631,136798121276.8901
2021-12-28,17.609473,406908.6767123257,127569062708.7574,136813731274.30505
2021-12-29,17.839406,406870.2575342435,127631769830.9085,136829341271.72
2021-12-30,18.085269,406831.8383561613,127694476953.05959,136844951269.13495
2021-12-31,18.027489,406793.4191780791,127757184075.21068,136860561266.5499
2022-01-01,18.138658,406755.0,127819891197.359,136876171263.964
2022-01-02,18.138658,406683.3205479452,127807902190.93515,136848619697.54655
2022-01-03,18.115972,406611.64109589043,127795913184.5113,136821068131.1291
2022-01-04,17.914262,406539.96164383565,127783924178.08746,136793516564.71165
2022-01-05,18.106954,406468.28219178086,127771935171.66362,136765964998.2942
2022-01-06,18.011648,406396.6027397261,127759946165.23978,136738413431.87675
2022-01-07,17.759945,406324.9232876713,127747957158.81593,136710861865.4593
2022-01-08,17.704592,406253.2438356165,127735968152.39209,136683310299.04185
2022-01-09,17.715726,406181.5643835617,127723979145.96825,136655758732.6244
2022-01-10,17.665621,406109.88493150694,127711990139.5444,136628207166.20695
2022-01-11,17.753477,406038.20547945215,127700001133.12056,136600655599.7895
2022-01-12,17.630139,405966.52602739737,127688012126.69672,136573104033.37206
2022-01-13,17.51358,405894.8465753426,127676023120.27287,136545552466.9546
2022-01-14,17.706053,405823.1671232878,127664034113.84903,136518000900.53716
2022-01-15,17.551569,405751.487671233,127652045107.42519,136490449334.1197
2022-01-16,17.551569,405679.80821917823,127640056101.00134,136462897767.70226
2022-01-17,17.561655,405608.12876712345,127628067094.5775,136435346201.2848
2022-01-18,17.561582,405536.44931506866,127616078088.15366,136407794634.86736
2022-01-19,17.553842,405464.7698630139,127604089081.72981,136380243068.4499
2022-01-20,17.409416,405393.0904109591,127592100075.30597,136352691502.03246
2022-01-21,17.26468,405321.4109589043,127580111068.88213,136325139935.615
2022-01-22,17.132052,405249.7315068495,127568122062.45828,136297588369.19756
2022-01-23,17.132052,405178.05205479474,127556133056.03444,136270036802.7801
2022-01-24,17.120165,405106.37260273995,127544144049.6106,136242485236.36266
2022-01-25,17.298159,405034.69315068517,127532155043.18675,136214933669.9452
2022-01-26,17.262956,404963.0136986304,127520166036.76291,136187382103.52776
2022-01-27,17.271355,404891.3342465756,127508177030.33907,136159830537.1103
2022-01-28,17.210076,404819.6547945208,127496188023.91522,136132278970.69286
2022-01-29,17.383279,404747.97534246603,127484199017.49138,136104727404.2754
2022-01-30,17.383279,404676.29589041125,127472210011.06754,136077175837.85796
2022-01-31,17.394856,404604.61643835646,127460221004.64369,136049624271.4405
2022-02-01,17.29135,404532.9369863017,127448231998.21985,136022072705.02306
2022-02-02,17.215732,404461.2575342469,127436242991.796,135994521138.6056
2022-02-03,17.383082,404389.5780821921,127424253985.37216,135966969572.18816
2022-02-04,17.460699,404317.8986301373,127412264978.94832,135939418005.7707
2022-02-05,17.701165,404246.21917808254,127400275972.52448,135911866439.35326
2022-02-06,17.701165,404174.53972602775,127388286966.10063,135884314872.9358
2022-02-07,17.705842,404102.86027397297,127376297959.67679,135856763306.51836
2022-02-08,17.713942,404031.1808219182,127364308953.25294,135829211740.1009
2022-02-09,17.53298,403959.5013698634,127352319946.8291,135801660173.68346
2022-02-10,17.371559,403887.8219178086,127340330940.40526,135774108607.266
