,Rate,Gdp,Import,Export
2021-12-17,1342.261048,1805237.6986301607,803346321684.4098,823637453424.6704
2021-12-18,1334.895233,1804846.0520548183,803650557782.0393,823792349863.0266
2021-12-19,1334.962661,1804454.4054794759,803954793879.6688,823947246301.3828
2021-12-20,1337.72136,1804062.7589041335,804259029977.2983,824102142739.739
2021-12-21,1344.946284,1803671.112328791,804563266074.9279,824257039178.0952
2021-12-22,1344.171803,1803279.4657534487,804867502172.5574,824411935616.4514
2021-12-23,1347.145782,1802887.8191781063,805171738270.1869,824566832054.8076
2021-12-24,1344.001168,1802496.1726027639,805475974367.8164,824721728493.1638
2021-12-25,1346.127078,1802104.5260274215,805780210465.4459,824876624931.52
2021-12-26,1346.127078,1801712.879452079,806084446563.0754,825031521369.8762
2021-12-27,1342.632381,1801321.2328767367,806388682660.705,825186417808.2324
2021-12-28,1343.385976,1800929.5863013943,806692918758.3345,825341314246.5886
2021-12-29,1341.010924,1800537.9397260519,806997154855.964,825496210684.9448
2021-12-30,1343.559803,1800146.2931507095,807301390953.5935,825651107123.301
2021-12-31,1345.395771,1799754.646575367,807605627051.223,825806003561.6572
2022-01-01,1351.929888,1799363.0,807909863148.844,825960900000.0
2022-01-02,1351.929888,1799471.7534246575,807758520651.2092,825805508767.1233
2022-01-03,1350.31653,1799580.506849315,807607178153.5745,825650117534.2466
2022-01-04,1350.893463,1799689.2602739725,807455835655.9397,825494726301.3699
2022-01-05,1353.833563,1799798.01369863,807304493158.3049,825339335068.4932
2022-01-06,1356.0587,1799906.7671232875,807153150660.6702,825183943835.6165
2022-01-07,1357.394021,1800015.520547945,807001808163.0354,825028552602.7397
2022-01-08,1360.739045,1800124.2739726026,806850465665.4006,824873161369.863
2022-01-09,1360.625428,1800233.02739726,806699123167.7659,824717770136.9863
2022-01-10,1359.189186,1800341.7808219176,806547780670.1311,824562378904.1096
2022-01-11,1355.134146,1800450.534246575,806396438172.4963,824406987671.2329
2022-01-12,1353.722035,1800559.2876712326,806245095674.8616,824251596438.3562
2022-01-13,1360.055193,1800668.04109589,806093753177.2268,824096205205.4795
2022-01-14,1362.389842,1800776.7945205476,805942410679.592,823940813972.6028
2022-01-15,1358.814532,1800885.5479452051,805791068181.9573,823785422739.7261
2022-01-16,1358.814532,1800994.3013698626,805639725684.3225,823630031506.8494
2022-01-17,1358.789392,1801103.0547945201,805488383186.6877,823474640273.9727
2022-01-18,1355.329839,1801211.8082191776,805337040689.053,823319249041.096
2022-01-19,1349.205329,1801320.5616438352,805185698191.4182,823163857808.2192
2022-01-20,1350.478592,1801429.3150684927,805034355693.7834,823008466575.3425
2022-01-21,1350.093356,1801538.0684931502,804883013196.1487,822853075342.4658
2022-01-22,1352.979178,1801646.8219178077,804731670698.5139,822697684109.5891
2022-01-23,1352.979178,1801755.5753424652,804580328200.8792,822542292876.7124
2022-01-24,1353.471289,1801864.3287671227,804428985703.2444,822386901643.8357
2022-01-25,1355.018945,1801973.0821917802,804277643205.6096,822231510410.959
2022-01-26,1353.422491,1802081.8356164377,804126300707.9749,822076119178.0823
