,Rate,Gdp,Import,Export
2021-12-17,495.483345,33583.780821917564,585102525.0563297,5939206024.257642
2021-12-18,491.67085,33579.32876712304,584937903.3516107,5937134219.155701
2021-12-19,491.67085,33574.87671232852,584773281.6468916,5935062414.05376
2021-12-20,491.921052,33570.424657534,584608659.9421725,5932990608.951818
2021-12-21,493.667976,33565.97260273948,584444038.2374535,5930918803.849877
2021-12-22,493.960238,33561.52054794496,584279416.5327344,5928846998.747936
2021-12-23,496.068113,33557.06849315044,584114794.8280153,5926775193.645995
2021-12-24,495.485793,33552.616438355915,583950173.1232963,5924703388.544054
2021-12-25,496.146112,33548.164383561394,583785551.4185772,5922631583.442113
2021-12-26,496.146112,33543.71232876687,583620929.7138581,5920559778.340172
2021-12-27,495.228345,33539.26027397235,583456308.0091391,5918487973.238231
2021-12-28,495.487345,33534.80821917783,583291686.30442,5916416168.13629
2021-12-29,494.403874,33530.35616438331,583127064.5997009,5914344363.0343485
2021-12-30,496.380531,33525.90410958879,582962442.8949819,5912272557.932407
2021-12-31,495.368989,33521.45205479427,582797821.1902628,5910200752.830466
2022-01-01,497.505305,33517.0,582633199.485523,
2022-01-02,497.505305,33526.53698630137,582529708.8050001,
2022-01-03,497.217996,33536.07397260274,582426218.1244771,
2022-01-04,494.638811,33545.61095890411,582322727.4439542,
2022-01-05,493.837247,33555.14794520548,582219236.7634313,
2022-01-06,495.051486,33564.68493150685,582115746.0829084,
2022-01-07,494.23044,33574.221917808216,582012255.4023855,
2022-01-08,497.078305,33583.758904109585,581908764.7218626,
2022-01-09,497.078305,33593.295890410955,581805274.0413396,
2022-01-10,495.897173,33602.832876712324,581701783.3608167,
2022-01-11,495.814169,33612.36986301369,581598292.6802938,
2022-01-12,497.589448,33621.90684931506,581494801.9997709,
2022-01-13,500.567283,33631.44383561643,581391311.319248,
2022-01-14,501.612203,33640.9808219178,581287820.638725,
2022-01-15,499.45908,33650.51780821917,581184329.9582021,
2022-01-16,499.45908,33660.05479452054,581080839.2776792,
2022-01-17,499.114775,33669.59178082191,580977348.5971563,
2022-01-18,499.544924,33679.12876712328,580873857.9166334,
2022-01-19,495.299416,33688.66575342465,580770367.2361104,
2022-01-20,497.041233,33698.20273972602,580666876.5555875,
2022-01-21,494.52518,33707.73972602739,580563385.8750646,
2022-01-22,496.336982,33717.276712328756,580459895.1945417,
2022-01-23,496.336982,33726.813698630125,580356404.5140188,
2022-01-24,495.994645,33736.350684931494,580252913.8334959,
2022-01-25,498.698852,33745.887671232864,580149423.1529729,
2022-01-26,497.842502,33755.42465753423,580045932.47245,
2022-01-27,494.810682,33764.9616438356,579942441.7919271,
2022-01-28,492.042768,33774.49863013697,579838951.1114042,
2022-01-29,491.622503,33784.03561643834,579735460.4308813,
2022-01-30,491.622503,33793.57260273971,579631969.7503583,
2022-01-31,491.515089,33803.10958904108,579528479.0698354,
2022-02-01,495.806018,33812.64657534245,579424988.3893125,
2022-02-02,497.254098,33822.18356164382,579321497.7087896,
2022-02-03,498.23448,33831.72054794519,579218007.0282667,
2022-02-04,505.116875,33841.25753424656,579114516.3477437,
2022-02-05,504.921304,33850.79452054793,579011025.6672208,
2022-02-06,504.921304,33860.331506849296,578907534.9866979,
2022-02-07,505.073713,33869.868493150665,578804044.306175,
2022-02-08,505.723481,33879.405479452034,578700553.6256521,
2022-02-09,504.507011,33888.942465753404,578597062.9451292,
2022-02-10,505.326443,33898.47945205477,578493572.2646062,
2022-02-11,505.012833,33908.01643835614,578390081.5840833,
2022-02-12,502.214977,33917.55342465751,578286590.9035604,
2022-02-13,502.214977,33927.09041095888,578183100.2230375,
2022-02-14,502.397688,33936.62739726025,578079609.5425146,
2022-02-15,501.635596,33946.16438356162,577976118.8619916,
