,Rate,Gdp,Import,Export
2021-12-17,24.375839,3608.5205479452125,,2587282931.401672
2021-12-18,24.19454,3610.019178082199,,2588105287.6721816
2021-12-19,24.19454,3611.517808219185,,2588927643.9426913
2021-12-20,24.207356,3613.0164383561714,,2589750000.213201
2021-12-21,24.289541,3614.5150684931577,,2590572356.483711
2021-12-22,24.247613,3616.013698630144,,2591394712.7542205
2021-12-23,24.28636,3617.5123287671304,,2592217069.02473
2021-12-24,24.205658,3619.0109589041167,,2593039425.29524
2021-12-25,23.323818,3620.509589041103,,2593861781.5657496
2021-12-26,23.323818,3622.0082191780893,,2594684137.8362594
2021-12-27,23.281031,3623.5068493150757,,2595506494.106769
2021-12-28,21.978287,3625.005479452062,,2596328850.377279
2021-12-29,22.248729,3626.5041095890483,,2597151206.6477885
2021-12-30,22.475132,3628.0027397260346,,2597973562.9182982
2021-12-31,23.55971,3629.501369863021,,2598795919.188808
2022-01-01,23.661765,3631.0,,2599618275.45936
2022-01-02,23.661765,3630.4904109589042,,2599436124.255178
2022-01-03,23.648191,3629.9808219178085,,2599253973.050996
2022-01-04,23.872632,3629.4712328767127,,2599071821.8468137
2022-01-05,24.051688,3628.961643835617,,2598889670.6426315
2022-01-06,24.147803,3628.4520547945212,,2598707519.4384494
2022-01-07,24.019408,3627.9424657534255,,2598525368.234267
2022-01-08,24.164095,3627.4328767123297,,2598343217.030085
2022-01-09,24.164095,3626.923287671234,,2598161065.825903
2022-01-10,24.106551,3626.4136986301382,,2597978914.621721
2022-01-11,24.079083,3625.9041095890425,,2597796763.4175386
2022-01-12,24.148833,3625.3945205479467,,2597614612.2133565
2022-01-13,24.30707,3624.884931506851,,2597432461.0091743
2022-01-14,24.310387,3624.3753424657552,,2597250309.804992
2022-01-15,24.319786,3623.8657534246595,,2597068158.60081
2022-01-16,24.319786,3623.3561643835637,,2596886007.396628
2022-01-17,24.303371,3622.846575342468,,2596703856.1924458
2022-01-18,24.284715,3622.3369863013722,,2596521704.9882636
2022-01-19,24.093036,3621.8273972602765,,2596339553.7840815
2022-01-20,24.022837,3621.3178082191807,,2596157402.5798993
2022-01-21,24.031258,3620.808219178085,,2595975251.375717
2022-01-22,23.940263,3620.2986301369892,,2595793100.171535
2022-01-23,23.940263,3619.7890410958935,,2595610948.967353
2022-01-24,23.923969,3619.2794520547977,,2595428797.7631707
2022-01-25,23.885235,3618.769863013702,,2595246646.5589886
2022-01-26,23.860596,3618.2602739726062,,2595064495.3548064
2022-01-27,23.723376,3617.7506849315105,,2594882344.1506243
2022-01-28,23.462571,3617.2410958904147,,2594700192.946442
2022-01-29,23.349306,3616.731506849319,,2594518041.74226
2022-01-30,23.349306,3616.221917808223,,2594335890.538078
2022-01-31,23.344198,3615.7123287671275,,2594153739.3338957
2022-02-01,23.474344,3615.2027397260317,,2593971588.1297135
2022-02-02,23.542912,3614.693150684936,,2593789436.9255314
2022-02-03,23.589326,3614.18356164384,,2593607285.7213492
2022-02-04,23.972444,3613.6739726027445,,2593425134.517167
2022-02-05,23.692398,3613.1643835616487,,2593242983.312985
2022-02-06,23.692398,3612.654794520553,,2593060832.108803
2022-02-07,23.69951,3612.145205479457,,2592878680.9046206
2022-02-08,23.617409,3611.6356164383615,,2592696529.7004385
2022-02-09,23.518346,3611.1260273972657,,2592514378.4962564
2022-02-10,23.493184,3610.61643835617,,2592332227.292074
2022-02-11,23.362857,3610.106849315074,,2592150076.087892
2022-02-12,23.11309,3609.5972602739785,,2591967924.88371
2022-02-13,23.11309,3609.0876712328827,,2591785773.6795278
2022-02-14,23.121673,3608.578082191787,,2591603622.4753456
2022-02-15,22.964427,3608.068493150691,,2591421471.2711635
2022-02-16,23.37631,3607.5589041095955,,2591239320.0669813
2022-02-17,23.590026,3607.0493150684997,,2591057168.862799
2022-02-18,23.439901,3606.539726027404,,2590875017.658617
2022-02-19,23.331004,3606.030136986308,,2590692866.454435
2022-02-20,23.331004,3605.5205479452125,,2590510715.2502527
2022-02-21,23.326434,3605.0109589041167,,2590328564.0460706
2022-02-22,23.428331,3604.501369863021,,2590146412.8418884
2022-02-23,23.424923,3603.991780821925,,2589964261.6377063
2022-02-24,23.280231,3603.4821917808295,,2589782110.433524
2022-02-25,23.109001,3602.9726027397337,,2589599959.229342
2022-02-26,23.130886,3602.463013698638,,2589417808.02516
2022-02-27,23.130886,3601.953424657542,,2589235656.8209777
2022-02-28,22.916827,3601.4438356164464,,2589053505.6167955
2022-03-01,22.920535,3600.9342465753507,,2588871354.4126134
2022-03-02,22.764634,3600.424657534255,,2588689203.2084312
2022-03-03,22.698543,3599.915068493159,,2588507052.004249
2022-03-04,22.505013,3599.4054794520634,,2588324900.800067
2022-03-05,22.410466,3598.8958904109677,,2588142749.595885
2022-03-06,22.410466,3598.386301369872,,2587960598.3917027
2022-03-07,22.213116,3597.876712328776,,2587778447.1875205
2022-03-08,22.329705,3597.3671232876804,,2587596295.9833384
2022-03-09,22.379915,3596.8575342465847,,2587414144.779156
2022-03-10,22.728504,3596.347945205489,,2587231993.574974
2022-03-11,22.642811,3595.838356164393,,2587049842.370792
2022-03-12,22.455892,3595.3287671232974,,2586867691.16661
2022-03-13,22.455892,3594.8191780822017,,2586685539.9624276
2022-03-14,22.462447,3594.309589041106,,2586503388.7582455
2022-03-15,22.549504,3593.80000000001,,2586321237.5540633
2022-03-16,22.536311,3593.2904109589144,,2586139086.349881
2022-03-17,22.764967,3592.7808219178187,,2585956935.145699
2022-03-18,22.90286,3592.271232876723,,2585774783.941517
2022-03-19,22.824818,3591.761643835627,,2585592632.7373347
2022-03-20,22.824818,3591.2520547945314,,2585410481.5331526
