,Rate,Gdp,Import,Export
2021-12-17,10.276823,582250.4246575239,300267209617.0051,316070561650.5518
2021-12-18,10.308261,582093.4630136882,300342680627.8684,316105703425.56476
2021-12-19,10.308261,581936.5013698526,300418151638.73175,316140845200.5777
2021-12-20,10.291948,581779.5397260169,300493622649.5951,316175986975.59064
2021-12-21,10.319681,581622.5780821813,300569093660.4584,316211128750.6036
2021-12-22,10.308205,581465.6164383456,300644564671.32166,316246270525.6165
2021-12-23,10.296558,581308.65479451,300720035682.185,316281412300.62946
2021-12-24,10.294165,581151.6931506743,300795506693.04834,316316554075.6424
2021-12-25,10.352077,580994.7315068387,300870977703.9116,316351695850.65533
2021-12-26,10.352077,580837.769863003,300946448714.7749,316386837625.6683
2021-12-27,10.321352,580680.8082191674,301021919725.63824,316421979400.6812
2021-12-28,10.310967,580523.8465753318,301097390736.5016,316457121175.69415
2021-12-29,10.244063,580366.8849314961,301172861747.36487,316492262950.7071
2021-12-30,10.241276,580209.9232876605,301248332758.22815,316527404725.72003
2021-12-31,10.243143,580052.9616438248,301323803769.0915,316562546500.733
2022-01-01,10.291223,579896.0,301399274779.953,316597688275.752
2022-01-02,10.291223,579911.3260273973,301397358312.61127,316619620308.0034
2022-01-03,10.289033,579926.6520547946,301395441845.26953,316641552340.2548
2022-01-04,10.284007,579941.9780821919,301393525377.9278,316663484372.5062
2022-01-05,10.273669,579957.3041095892,301391608910.58606,316685416404.7576
2022-01-06,10.314378,579972.6301369865,301389692443.2443,316707348437.00903
2022-01-07,10.331903,579987.9561643838,301387775975.9026,316729280469.26044
2022-01-08,10.286026,580003.2821917811,301385859508.56085,316751212501.51184
2022-01-09,10.316924,580018.6082191784,301383943041.2191,316773144533.76324
2022-01-10,10.277883,580033.9342465757,301382026573.8774,316795076566.01465
2022-01-11,10.305485,580049.260273973,301380110106.53564,316817008598.26605
2022-01-12,10.265062,580064.5863013703,301378193639.1939,316838940630.51746
2022-01-13,10.236372,580079.9123287676,301376277171.8522,316860872662.76886
2022-01-14,10.238255,580095.2383561649,301374360704.51044,316882804695.02026
2022-01-15,10.312893,580110.5643835622,301372444237.1687,316904736727.27167
2022-01-16,10.312893,580125.8904109595,301370527769.82697,316926668759.5231
2022-01-17,10.298467,580141.2164383568,301368611302.4852,316948600791.7745
2022-01-18,10.282507,580156.5424657541,301366694835.1435,316970532824.0259
2022-01-19,10.35563,580171.8684931514,301364778367.80176,316992464856.2773
2022-01-20,10.337095,580187.1945205487,301362861900.46,317014396888.5287
2022-01-21,10.438831,580202.520547946,301360945433.1183,317036328920.7801
2022-01-22,10.424809,580217.8465753433,301359028965.77655,317058260953.0315
2022-01-23,10.424809,580233.1726027406,301357112498.4348,317080192985.2829
2022-01-24,10.427791,580248.4986301379,301355196031.0931,317102125017.5343
2022-01-25,10.494382,580263.8246575352,301353279563.75134,317124057049.7857
2022-01-26,10.466323,580279.1506849325,301351363096.4096,317145989082.0371
2022-01-27,10.465072,580294.4767123298,301349446629.0679,317167921114.2885
2022-01-28,10.46478,580309.8027397271,301347530161.72614,317189853146.5399
