,Rate,Gdp,Import,Export
2021-12-17,2845.51798,,6793243572.142477,
2021-12-18,2823.563604,,6793908572.14896,
2021-12-19,2823.563604,,6794573572.155443,
2021-12-20,2825.059166,,6795238572.161926,
2021-12-21,2835.050673,,6795903572.168409,
2021-12-22,2836.738482,,6796568572.174892,
2021-12-23,2848.841222,,6797233572.1813755,
2021-12-24,2845.485753,,6797898572.187859,
2021-12-25,2849.264103,,6798563572.194342,
2021-12-26,2849.264103,,6799228572.200825,
2021-12-27,2844.036317,,6799893572.207308,
2021-12-28,2845.453528,,6800558572.213791,
2021-12-29,2839.285079,,6801223572.220274,
2021-12-30,2850.651293,,6801888572.226757,
2021-12-31,2844.757415,,6802553572.23324,
2022-01-01,2857.069671,,,
2022-01-02,2857.069671,,,
2022-01-03,2855.436893,,,
2022-01-04,2840.627917,,,
2022-01-05,2836.010704,,,
2022-01-06,2843.006504,,,
2022-01-07,2838.333845,,,
2022-01-08,2854.617496,,,
2022-01-09,2854.617496,,,
2022-01-10,2847.823207,,,
2022-01-11,2847.388366,,,
2022-01-12,2857.58959,,,
2022-01-13,2874.12512,,,
2022-01-14,2880.07658,,,
2022-01-15,2867.726967,,,
2022-01-16,2867.726967,,,
2022-01-17,2865.796708,,,
2022-01-18,2868.241437,,,
2022-01-19,2843.864549,,,
2022-01-20,2853.815531,,,
2022-01-21,2839.373736,,,
2022-01-22,2849.800929,,,
2022-01-23,2849.800929,,,
2022-01-24,2847.862431,,,
2022-01-25,2843.864549,,,
2022-01-26,2839.043377,,,
2022-01-27,2821.710976,,,
2022-01-28,2799.571302,,,
2022-01-29,2800.350717,,,
2022-01-30,2800.350717,,,
2022-01-31,2799.743404,,,
2022-02-01,2824.183963,,,
2022-02-02,2832.433158,,,
2022-02-03,2838.016976,,,
2022-02-04,2877.219652,,,
2022-02-05,2876.102551,,,
2022-02-06,2876.102551,,,
2022-02-07,2876.973185,,,
2022-02-08,2874.158062,,,
2022-02-09,2867.24206,,,
2022-02-10,2868.557577,,,
2022-02-11,2863.640512,,,
2022-02-12,2850.968189,,,
2022-02-13,2850.968189,,,
2022-02-14,2852.033465,,,
2022-02-15,2841.291222,,,
2022-02-16,2852.486871,,,
2022-02-17,2858.361762,,,
2022-02-18,2853.523768,,,
2022-02-19,2844.189424,,,
2022-02-20,2844.189424,,,
2022-02-21,2843.639197,,,
2022-02-22,2842.60947,,,
2022-02-23,2846.942868,,,
2022-02-24,2833.741195,,,
2022-02-25,2811.196593,,,
2022-02-26,2831.685436,,,
