,Rate,Gdp,Import,Export
2021-12-17,2.596195,515.205479452045,328524849.95063627,59827271.4056916
2021-12-18,2.576165,515.191780821908,328647775.5001288,59833823.40621302
2021-12-19,2.576165,515.178082191771,328770701.04962134,59840375.406734444
2021-12-20,2.57753,515.1643835616339,328893626.5991139,59846927.407255866
2021-12-21,2.584276,515.1506849314969,329016552.1486064,59853479.40777729
2021-12-22,2.584632,515.1369863013599,329139477.69809896,59860031.40829871
2021-12-23,2.591518,515.1232876712229,329262403.2475915,59866583.40882013
2021-12-24,2.580197,515.1095890410859,329385328.79708403,59873135.40934155
2021-12-25,2.583624,515.0958904109489,329508254.3465766,59879687.40986297
2021-12-26,2.583624,515.0821917808119,329631179.8960691,59886239.410384394
2021-12-27,2.578883,515.0684931506748,329754105.44556165,59892791.410905816
2021-12-28,2.580169,515.0547945205378,329877030.9950542,59899343.41142724
2021-12-29,2.572202,515.0410958904008,329999956.5445467,59905895.41194866
2021-12-30,2.584882,515.0273972602638,330122882.09403926,59912447.41247008
2021-12-31,2.575972,515.0136986301268,330245807.6435318,59918999.4129915
2022-01-01,2.586555,515.0,330368733.19303,59925551.4135119
2022-01-02,2.586555,514.9917808219178,330514345.7128803,60022591.90470769
2022-01-03,2.585075,514.9835616438356,330659958.2327306,60119632.39590348
2022-01-04,2.570533,514.9753424657534,330805570.75258094,60216672.88709927
2022-01-05,2.572785,514.9671232876713,330951183.27243125,60313713.378295064
2022-01-06,2.577384,514.9589041095891,331096795.79228157,60410753.869490854
2022-01-07,2.572525,514.9506849315069,331242408.3121319,60507794.360686645
2022-01-08,2.595583,514.9424657534247,331388020.8319822,60604834.851882435
2022-01-09,2.595583,514.9342465753425,331533633.3518325,60701875.343078226
2022-01-10,2.589404,514.9260273972603,331679245.8716828,60798915.83427402
2022-01-11,2.588383,514.9178082191781,331824858.39153314,60895956.32546981
2022-01-12,2.592931,514.909589041096,331970470.91138345,60992996.8166656
2022-01-13,2.608454,514.9013698630138,332116083.43123376,61090037.30786139
2022-01-14,2.613855,514.8931506849316,332261695.9510841,61187077.79905718
2022-01-15,2.589117,514.8849315068494,332407308.4709344,61284118.29025297
2022-01-16,2.589117,514.8767123287672,332552920.9907847,61381158.78144876
2022-01-17,2.587374,514.868493150685,332698533.510635,61478199.27264455
2022-01-18,2.589581,514.8602739726028,332844146.03048533,61575239.76384034
2022-01-19,2.567573,514.8520547945207,332989758.55033565,61672280.25503613
2022-01-20,2.576557,514.8438356164385,333135371.07018596,61769320.74623192
2022-01-21,2.563518,514.8356164383563,333280983.5900363,61866361.23742771
2022-01-22,2.572933,514.8273972602741,333426596.1098866,61963401.7286235
2022-01-23,2.572933,514.8191780821919,333572208.6297369,62060442.21981929
2022-01-24,2.571183,514.8109589041097,333717821.1495872,62157482.71101508
2022-01-25,2.567573,514.8027397260275,333863433.6694375,62254523.20221087
2022-01-26,2.56322,514.7945205479454,334009046.18928784,62351563.693406664
2022-01-27,2.547572,514.7863013698632,334154658.70913815,62448604.184602454
2022-01-28,2.527583,514.778082191781,334300271.22898847,62545644.675798245
2022-01-29,2.528287,514.7698630136988,334445883.7488388,62642685.166994035
2022-01-30,2.528287,514.7616438356166,334591496.2686891,62739725.658189826
2022-01-31,2.527738,514.7534246575344,334737108.7885394,62836766.149385616
2022-02-01,2.549804,514.7452054794522,334882721.3083897,62933806.64058141
2022-02-02,2.557252,514.73698630137,335028333.82824004,63030847.1317772
2022-02-03,2.562293,514.7287671232879,335173946.34809035,63127887.62297299
2022-02-04,2.597688,514.7205479452057,335319558.86794066,63224928.11416878
2022-02-05,2.596679,514.7123287671235,335465171.387791,63321968.60536457
2022-02-06,2.596679,514.7041095890413,335610783.9076413,63419009.09656036
2022-02-07,2.597465,514.6958904109591,335756396.4274916,63516049.58775615
2022-02-08,2.594924,514.6876712328769,335902008.9473419,63613090.07895194
2022-02-09,2.588679,514.6794520547948,336047621.46719223,63710130.57014773
2022-02-10,2.589867,514.6712328767126,336193233.98704255,63807171.06134352
2022-02-11,2.585428,514.6630136986304,336338846.50689286,63904211.55253931
2022-02-12,2.573987,514.6547945205482,336484459.0267432,64001252.0437351
2022-02-13,2.573987,514.646575342466,336630071.5465935,64098292.53493089
2022-02-14,2.574948,514.6383561643838,336775684.0664438,64195333.02612668
2022-02-15,2.56525,514.6301369863016,336921296.5862941,64292373.51732247
2022-02-16,2.575358,514.6219178082195,337066909.1061444,64389414.00851826
2022-02-17,2.580662,514.6136986301373,337212521.62599474,64486454.499714054
2022-02-18,2.576293,514.6054794520551,337358134.14584506,64583494.990909845
2022-02-19,2.567867,514.5972602739729,337503746.66569537,64680535.482105635
2022-02-20,2.567867,514.5890410958907,337649359.1855457,64777575.973301426
2022-02-21,2.567369,514.5808219178085,337794971.705396,64874616.464497216
2022-02-22,2.56644,514.5726027397263,337940584.2252463,64971656.95569301
2022-02-23,2.570352,514.5643835616441,338086196.7450966,65068697.4468888
2022-02-24,2.577102,514.556164383562,338231809.26494694,65165737.93808459
2022-02-25,2.550219,514.5479452054798,338377421.78479725,65262778.42928038
2022-02-26,2.568812,514.5397260273976,338523034.30464756,65359818.92047617
2022-02-27,2.568812,514.5315068493154,338668646.8244979,65456859.41167196
2022-02-28,2.545041,514.5232876712332,338814259.3443482,65553899.90286775
2022-03-01,2.563762,514.515068493151,338959871.8641985,65650940.39406354
2022-03-02,2.53752,514.5068493150688,339105484.3840488,65747980.88525933
2022-03-03,2.532138,514.4986301369867,339251096.90389913,65845021.37645512
2022-03-04,2.508626,514.4904109589045,339396709.42374945,65942061.86765091
2022-03-05,2.488523,514.4821917808223,339542321.94359976,66039102.3588467
2022-03-06,2.488523,514.4739726027401,339687934.4634501,66136142.85004249
2022-03-07,2.466608,514.4657534246579,339833546.9833004,66233183.34123828
2022-03-08,2.459868,514.4575342465757,339979159.5031507,66330223.83243407
2022-03-09,2.477219,514.4493150684935,340124772.023001,66427264.32362986
2022-03-10,2.508156,514.4410958904114,340270384.5428513,66524304.814825654
2022-03-11,2.491095,514.4328767123292,340415997.06270164,66621345.306021444
2022-03-12,2.468573,514.424657534247,340561609.58255196,66718385.797217235
2022-03-13,2.468573,514.4164383561648,340707222.10240227,66815426.288413025
2022-03-14,2.469301,514.4082191780826,340852834.6222526,66912466.779608816
2022-03-15,2.48604,514.4000000000004,340998447.1421029,67009507.27080461
2022-03-16,2.498572,514.3917808219182,341144059.6619532,67106547.7620004
2022-03-17,2.518109,514.3835616438361,341289672.1818035,67203588.25319618
2022-03-18,2.522062,514.3753424657539,341435284.70165384,67300628.74439198
2022-03-19,2.500916,514.3671232876717,341580897.22150415,67397669.23558778
2022-03-20,2.500916,514.3589041095895,341726509.74135447,67494709.72678356
2022-03-21,2.497478,514.3506849315073,341872122.2612048,67591750.21797934
2022-03-22,2.487068,514.3424657534251,342017734.7810551,67688790.70917514
2022-03-23,2.491981,514.334246575343,342163347.3009054,67785831.20037094
2022-03-24,2.483558,514.3260273972608,342308959.8207557,67882871.69156672
2022-03-25,2.479575,514.3178082191786,342454572.34060603,67979912.1827625
2022-03-26,2.470247,514.3095890410964,342600184.86045635,68076952.6739583
2022-03-27,2.470247,514.3013698630142,342745797.38030666,68173993.1651541
2022-03-28,2.474324,514.293150684932,342891409.900157,68271033.65634988
2022-03-29,2.498343,514.2849315068498,343037022.4200073,68368074.14754567
2022-03-30,2.512157,514.2767123287676,343182634.9398576,68465114.63874146
2022-03-31,2.491672,514.2684931506855,343328247.4597079,68562155.12993726
2022-04-01,2.485946,514.2602739726033,343473859.9795582,68659195.62113304
2022-04-02,2.487062,514.2520547945211,343619472.49940854,68756236.11232883
2022-04-03,2.48707,514.2438356164389,343765085.01925886,68853276.60352463
2022-04-04,2.471665,514.2356164383567,343910697.5391092,68950317.09472042
2022-04-05,2.450768,514.2273972602745,344056310.0589595,69047357.5859162
2022-04-06,2.453756,514.2191780821923,344201922.5788098,69144398.07711199
2022-04-07,2.452539,514.2109589041102,344347535.0986601,69241438.56830779
2022-04-08,2.446939,514.202739726028,344493147.6185104,69338479.05950359
2022-04-09,2.453206,514.1945205479458,344638760.13836074,69435519.55069937
2022-04-10,2.453206,514.1863013698636,344784372.65821105,69532560.04189515
2022-04-11,2.455396,514.1780821917814,344929985.17806137,69629600.53309095
2022-04-12,2.460343,514.1698630136992,345075597.6979117,69726641.02428675
2022-04-13,2.451748,514.161643835617,345221210.217762,69823681.51548253
2022-04-14,2.461383,514.1534246575349,345366822.7376123,69920722.00667831
2022-04-15,2.450141,514.1452054794527,345512435.2574626,70017762.49787411
2022-04-16,2.451515,514.1369863013705,345658047.77731293,70114802.98906991
2022-04-17,2.451515,514.1287671232883,345803660.29716325,70211843.48026569
2022-04-18,2.447999,514.1205479452061,345949272.81701356,70308883.97146147
2022-04-20,2.456184,514.1041095890417,346240497.8567142,70502964.95385307
2022-04-21,2.468426,514.0958904109596,346386110.3765645,70600005.44504885
2022-04-22,2.455168,514.0876712328774,346531722.8964148,70697045.93624464
2022-04-23,2.456968,514.0794520547952,346677335.41626513,70794086.42744043
2022-04-24,2.456968,514.071232876713,346822947.93611544,70891126.91863623
2022-04-25,2.458138,514.0630136986308,346968560.45596576,70988167.40983202
2022-04-26,2.437534,514.0547945205486,347114172.9758161,71085207.9010278
2022-04-27,2.441888,514.0465753424664,347259785.4956664,71182248.3922236
2022-04-28,2.42859,514.0383561643843,347405398.0155167,71279288.8834194
2022-04-29,2.42421,514.0301369863021,347551010.535367,71376329.37461518
2022-04-30,2.438449,514.0219178082199,347696623.0552173,71473369.86581096
2022-05-01,2.438449,514.0136986301377,347842235.57506764,71570410.35700676
2022-05-02,2.434916,514.0054794520555,347987848.09491795,71667450.84820256
2022-05-03,2.434808,513.9972602739733,348133460.61476827,71764491.33939834
2022-05-04,2.440358,513.9890410958911,348279073.1346186,71861531.83059412
2022-05-05,2.461398,513.980821917809,348424685.6544689,71958572.32178992
