,Rate,Gdp,Import,Export
2021-12-17,3.255507,44687.10958904147,28954297876.537613,17122067951.75991
2021-12-18,3.209643,44681.035616438734,28967260051.869034,17130833074.882898
2021-12-19,3.209643,44674.961643835995,28980222227.200455,17139598198.005886
2021-12-20,3.211266,44668.88767123326,28993184402.531876,17148363321.128874
2021-12-21,3.247472,44662.81369863052,29006146577.863297,17157128444.251862
2021-12-22,3.261275,44656.73972602778,29019108753.194717,17165893567.37485
2021-12-23,3.263844,44650.66575342504,29032070928.52614,17174658690.497837
2021-12-24,3.258307,44644.5917808223,29045033103.85756,17183423813.620827
2021-12-25,3.257531,44638.51780821956,29057995279.18898,17192188936.743813
2021-12-26,3.257531,44632.443835616825,29070957454.5204,17200954059.8668
2021-12-27,3.25155,44626.369863014086,29083919629.85182,17209719182.989788
2021-12-28,3.249239,44620.29589041135,29096881805.183243,17218484306.112778
2021-12-29,3.245515,44614.22191780861,29109843980.514664,17227249429.235764
2021-12-30,3.264783,44608.14794520587,29122806155.846085,17236014552.35875
2021-12-31,3.256113,44602.07397260313,29135768331.177505,17244779675.48174
2022-01-01,3.270207,44596.0,29148730506.5086,17253544798.6048
2022-01-02,3.270207,44606.808219178085,29147096263.306385,17260334559.851612
2022-01-03,3.268338,44617.61643835617,29145462020.10417,17267124321.098423
2022-01-04,3.261784,44628.424657534255,29143827776.90196,17273914082.345234
2022-01-05,3.254786,44639.23287671234,29142193533.699745,17280703843.592045
2022-01-06,3.253763,44650.041095890425,29140559290.49753,17287493604.838856
2022-01-07,3.255193,44660.84931506851,29138925047.29532,17294283366.085667
2022-01-08,3.273347,44671.657534246595,29137290804.093105,17301073127.332478
2022-01-09,3.273347,44682.46575342468,29135656560.890892,17307862888.57929
2022-01-10,3.265535,44693.273972602765,29134022317.68868,17314652649.8261
2022-01-11,3.268375,44704.08219178085,29132388074.486465,17321442411.07291
2022-01-12,3.273319,44714.890410958935,29130753831.284252,17328232172.31972
2022-01-13,3.289434,44725.69863013702,29129119588.08204,17335021933.566532
2022-01-14,3.26359,44736.506849315105,29127485344.879826,17341811694.813343
2022-01-15,3.293591,44747.31506849319,29125851101.677612,17348601456.060154
2022-01-16,3.293591,44758.123287671275,29124216858.4754,17355391217.306965
2022-01-17,3.291296,44768.93150684936,29122582615.273186,17362180978.553776
2022-01-18,3.294204,44779.739726027445,29120948372.070972,17368970739.800587
2022-01-19,3.257652,44790.54794520553,29119314128.86876,17375760501.047398
2022-01-20,3.28891,44801.356164383615,29117679885.666546,17382550262.29421
2022-01-21,3.272857,44812.1643835617,29116045642.464333,17389340023.54102
2022-01-22,3.261053,44822.972602739785,29114411399.26212,17396129784.78783
2022-01-23,3.261053,44833.78082191787,29112777156.059906,17402919546.03464
2022-01-24,3.258832,44844.589041095955,29111142912.857693,17409709307.281452
2022-01-25,3.267842,44855.39726027404,29109508669.65548,17416499068.528263
2022-01-26,3.286032,44866.205479452125,29107874426.453266,17423288829.775074
2022-01-27,3.243508,44877.01369863021,29106240183.251053,17430078591.021885
2022-01-28,3.234774,44887.821917808295,29104605940.04884,17436868352.268696
2022-01-29,3.235161,44898.63013698638,29102971696.846626,17443658113.515507
2022-01-30,3.235161,44909.438356164464,29101337453.644413,17450447874.762318
2022-01-31,3.234388,44920.24657534255,29099703210.4422,17457237636.00913
2022-02-01,3.267171,44931.054794520634,29098068967.239986,17464027397.25594
2022-02-02,3.249612,44941.86301369872,29096434724.037773,17470817158.50275
2022-02-03,3.255996,44952.671232876804,29094800480.83556,17477606919.74956
2022-02-04,3.274097,44963.47945205489,29093166237.633347,17484396680.996372
2022-02-05,3.277411,44974.287671232974,29091531994.431133,17491186442.243183
2022-02-06,3.277411,44985.09589041106,29089897751.22892,17497976203.489994
2022-02-07,3.278399,44995.904109589144,29088263508.026707,17504765964.736805
2022-02-08,3.27176,45006.71232876723,29086629264.824493,17511555725.983616
2022-02-09,3.263885,45017.520547945314,29084995021.62228,17518345487.230427
2022-02-10,3.277508,45028.3287671234,29083360778.420067,17525135248.477238
2022-02-11,3.251801,45039.136986301484,29081726535.217854,17531925009.72405
2022-02-12,3.273209,45049.94520547957,29080092292.01564,17538714770.97086
2022-02-13,3.273209,45060.753424657654,29078458048.813427,17545504532.21767
2022-02-14,3.274403,45071.56164383574,29076823805.611214,17552294293.46448
2022-02-15,3.256118,45082.369863013824,29075189562.409,17559084054.711292
2022-02-16,3.275476,45093.17808219191,29073555319.206787,17565873815.958103
2022-02-17,3.268566,45103.986301369994,29071921076.004574,17572663577.204914
2022-02-18,3.264168,45114.79452054808,29070286832.80236,17579453338.451725
2022-02-19,3.268823,45125.602739726164,29068652589.600147,17586243099.698536
2022-02-20,3.268823,45136.41095890425,29067018346.397934,17593032860.945347
