,Rate,Gdp,Import,Export
2021-12-17,4026.436066,47092.26027397133,10255518602.333292,6120501380.795399
2021-12-18,4022.918557,47104.50958903982,10254790263.64107,6120184675.333535
2021-12-19,4022.918557,47116.75890410831,10254061924.948847,6119867969.871672
2021-12-20,4025.801534,47129.0082191768,10253333586.256624,6119551264.409808
2021-12-21,3996.220289,47141.25753424529,10252605247.564402,6119234558.947945
2021-12-22,4005.300417,47153.50684931378,10251876908.872179,6118917853.486081
2021-12-23,4010.804897,47165.75616438227,10251148570.179956,6118601148.024218
2021-12-24,4011.214312,47178.00547945076,10250420231.487734,6118284442.562354
2021-12-25,4013.853455,47190.25479451925,10249691892.795511,6117967737.100491
2021-12-26,4013.853455,47202.50410958774,10248963554.103289,6117651031.638627
2021-12-27,4006.488898,47214.75342465623,10248235215.411066,6117334326.176764
2021-12-28,4015.892907,47227.00273972472,10247506876.718843,6117017620.7149
2021-12-29,4011.984467,47239.25205479321,10246778538.02662,6116700915.2530365
2021-12-30,4000.591106,47251.5013698617,10246050199.334398,6116384209.791173
2021-12-31,4012.640555,47263.750684930186,10245321860.642176,6116067504.329309
2022-01-01,4031.995186,47276.0,10244593521.9497,6115750798.86733
2022-01-02,4031.995186,47288.76164383562,10245573717.399696,6123551637.036574
2022-01-03,4029.690953,47301.52328767124,10246553912.849693,6131352475.205819
2022-01-04,4025.373643,47314.28493150686,10247534108.29969,6139153313.375064
2022-01-05,3997.592277,47327.04657534248,10248514303.749687,6146954151.544309
2022-01-06,4006.639285,47339.8082191781,10249494499.199684,6154754989.713553
2022-01-07,4002.74902,47352.56986301372,10250474694.649681,6162555827.882798
2022-01-08,4028.031475,47365.33150684934,10251454890.099678,6170356666.052043
2022-01-09,4007.92713,47378.09315068496,10252435085.549675,6178157504.221288
2022-01-10,4001.452282,47390.85479452058,10253415280.999672,6185958342.3905325
2022-01-11,4000.561042,47403.6164383562,10254395476.449669,6193759180.559777
2022-01-12,4003.805196,47416.37808219182,10255375671.899666,6201560018.729022
2022-01-13,4034.604622,47429.13972602744,10256355867.349663,6209360856.898267
