,Rate,Gdp,Import,Export
2021-12-17,30.869243,163542.3972602724,84146166558.38138,58502767123.287964
2021-12-18,30.842276,163438.70410958747,84146810233.50084,58437049315.06879
2021-12-19,30.842276,163335.01095890254,84147453908.6203,58371331506.84961
2021-12-20,30.863966,163231.3178082176,84148097583.73976,58305613698.63043
2021-12-21,30.752703,163127.62465753267,84148741258.85922,58239895890.411255
2021-12-22,30.778224,163023.93150684773,84149384933.97868,58174178082.19208
2021-12-23,30.80159,162920.2383561628,84150028609.09814,58108460273.9729
2021-12-24,30.850674,162816.54520547786,84150672284.2176,58042742465.75372
2021-12-25,30.862129,162712.85205479292,84151315959.33707,57977024657.534546
2021-12-26,30.862129,162609.158904108,84151959634.45653,57911306849.31537
2021-12-27,30.805503,162505.46575342305,84152603309.57599,57845589041.09619
2021-12-28,30.912829,162401.7726027381,84153246984.69545,57779871232.877014
2021-12-29,30.863519,162298.07945205318,84153890659.81491,57714153424.65784
2021-12-30,30.777328,162194.38630136824,84154534334.93437,57648435616.43866
2021-12-31,30.896254,162090.6931506833,84155178010.05383,57582717808.21948
2022-01-01,31.030458,161987.0,84155821685.1726,57517000000.0
2022-01-02,31.030458,162032.96164383562,84169579875.53152,57499912328.76712
2022-01-03,31.012724,162078.92328767123,84183338065.89044,57482824657.53424
2022-01-04,30.982509,162124.88493150685,84197096256.24936,57465736986.30136
2022-01-05,30.795099,162170.84657534247,84210854446.60828,57448649315.06848
2022-01-06,31.088473,162216.80821917808,84224612636.9672,57431561643.8356
2022-01-07,31.061699,162262.7698630137,84238370827.32611,57414473972.60272
2022-01-08,31.24182,162308.73150684932,84252129017.68503,57397386301.36984
2022-01-09,31.085888,162354.69315068494,84265887208.04395,57380298630.13696
2022-01-10,31.038677,162400.65479452055,84279645398.40286,57363210958.90408
2022-01-11,31.149098,162446.61643835617,84293403588.76178,57346123287.6712
2022-01-12,31.231049,162492.5780821918,84307161779.1207,57329035616.438324
2022-01-13,31.72168,162538.5397260274,84320919969.47961,57311947945.205444
2022-01-14,31.803557,162584.50136986302,84334678159.83853,57294860273.972565
2022-01-15,31.9221,162630.46301369864,84348436350.19745,57277772602.739685
2022-01-16,31.9221,162676.42465753425,84362194540.55637,57260684931.506805
2022-01-17,31.900613,162722.38630136987,84375952730.91528,57243597260.273926
2022-01-18,32.184824,162768.3479452055,84389710921.2742,57226509589.041046
2022-01-19,32.221907,162814.3095890411,84403469111.63312,57209421917.80817
2022-01-20,32.301829,162860.27123287672,84417227301.99203,57192334246.57529
2022-01-21,32.019002,162906.23287671234,84430985492.35095,57175246575.34241
2022-01-22,32.129311,162952.19452054796,84444743682.70987,57158158904.10953
2022-01-23,32.129311,162998.15616438357,84458501873.06879,57141071232.87665
2022-01-24,32.107456,163044.1178082192,84472260063.4277,57123983561.64377
2022-01-25,32.171817,163090.0794520548,84486018253.78662,57106895890.41089
2022-01-26,32.422671,163136.04109589042,84499776444.14554,57089808219.17801
2022-01-27,32.338754,163182.00273972604,84513534634.50446,57072720547.94513
2022-01-28,32.309697,163227.96438356166,84527292824.86337,57055632876.71225
2022-01-29,31.898845,163273.92602739728,84541051015.22229,57038545205.47937
2022-01-30,31.898845,163319.8876712329,84554809205.5812,57021457534.24649
2022-01-31,31.865182,163365.8493150685,84568567395.94012,57004369863.01361
2022-02-01,31.753622,163411.81095890413,84582325586.29904,56987282191.78073
2022-02-02,32.015362,163457.77260273974,84596083776.65796,56970194520.54785
2022-02-03,32.065817,163503.73424657536,84609841967.01688,56953106849.31497
2022-02-04,32.351526,163549.69589041098,84623600157.3758,56936019178.08209
2022-02-05,32.193248,163595.6575342466,84637358347.73471,56918931506.84921
2022-02-06,32.193248,163641.6191780822,84651116538.09363,56901843835.61633
2022-02-07,32.202994,163687.58082191783,84664874728.45255,56884756164.38345
2022-02-08,32.010785,163733.54246575345,84678632918.81146,56867668493.15057
2022-02-09,31.924864,163779.50410958906,84692391109.17038,56850580821.917694
2022-02-10,31.927833,163825.46575342468,84706149299.5293,56833493150.684814
2022-02-11,31.756042,163871.4273972603,84719907489.88821,56816405479.451935
2022-02-12,31.803511,163917.3890410959,84733665680.24713,56799317808.219055
2022-02-13,31.930172,163963.35068493153,84747423870.60605,56782230136.986176
2022-02-14,31.942103,164009.31232876715,84761182060.96497,56765142465.753296
2022-02-15,32.27681,164055.27397260276,84774940251.32388,56748054794.52042
2022-02-16,32.003648,164101.23561643838,84788698441.6828,56730967123.28754
2022-02-17,31.981784,164147.197260274,84802456632.04172,56713879452.05466
2022-02-18,32.168485,164193.15890410962,84816214822.40063,56696791780.82178
2022-02-19,32.084624,164239.12054794523,84829973012.75955,56679704109.5889
2022-02-20,32.084624,164285.08219178085,84843731203.11847,56662616438.35602
2022-02-21,32.078417,164331.04383561647,84857489393.47739,56645528767.12314
2022-02-22,32.261065,164377.00547945208,84871247583.8363,56628441095.89026
2022-02-23,32.789934,164422.9671232877,84885005774.19522,56611353424.65738
2022-02-24,33.123036,164468.92876712332,84898763964.55414,56594265753.4245
2022-02-25,33.46782,164514.89041095893,84912522154.91306,56577178082.19162
2022-02-26,33.796485,164560.85205479455,84926280345.27197,56560090410.95874
2022-02-27,33.624923,164606.81369863017,84940038535.63089,56543002739.72586
2022-02-28,33.313758,164652.7753424658,84953796725.9898,56525915068.49298
2022-03-01,33.685135,164698.7369863014,84967554916.34872,56508827397.2601
2022-03-02,33.421757,164744.69863013702,84981313106.70764,56491739726.02722
2022-03-03,33.351832,164790.66027397264,84995071297.06656,56474652054.79434
2022-03-04,33.187994,164836.62191780825,85008829487.42548,56457564383.56146
2022-03-05,33.055737,164882.58356164387,85022587677.7844,56440476712.32858
2022-03-06,33.055737,164928.5452054795,85036345868.14331,56423389041.0957
2022-03-07,32.764653,164974.5068493151,85050104058.50223,56406301369.86282
2022-03-08,32.555939,165020.46849315072,85063862248.86115,56389213698.629944
2022-03-09,32.72443,165066.43013698634,85077620439.22006,56372126027.397064
2022-03-10,33.195279,165112.39178082196,85091378629.57898,56355038356.164185
2022-03-11,32.289332,165158.35342465757,85105136819.9379,56337950684.931305
2022-03-12,32.024011,165204.3150684932,85118895010.29681,56320863013.698425
2022-03-13,32.024011,165250.2767123288,85132653200.65573,56303775342.465546
2022-03-14,32.033463,165296.23835616442,85146411391.01465,56286687671.232666
2022-03-15,32.147713,165342.20000000004,85160169581.37357,56269599999.99979
2022-03-16,32.200044,165388.16164383566,85173927771.73248,56252512328.76691
2022-03-17,32.444881,165434.12328767127,85187685962.0914,56235424657.53403
2022-03-18,32.88705,165480.0849315069,85201444152.45032,56218336986.30115
2022-03-19,32.513486,165526.0465753425,85215202342.80923,56201249315.06827
2022-03-20,32.513486,165572.00821917813,85228960533.16815,56184161643.83539
2022-03-21,32.468783,165617.96986301374,85242718723.52707,56167073972.60251
2022-03-22,32.347441,165663.93150684936,85256476913.88599,56149986301.36963
2022-03-23,32.32625,165709.89315068498,85270235104.2449,56132898630.13675
2022-03-24,32.253036,165755.8547945206,85283993294.60382,56115810958.90387
2022-03-25,32.394883,165801.8164383562,85297751484.96274,56098723287.67099
2022-03-26,32.448618,165847.77808219183,85311509675.32166,56081635616.43811
2022-03-27,32.528078,165893.73972602744,85325267865.68057,56064547945.20523
2022-03-28,32.452642,165939.70136986306,85339026056.03949,56047460273.97235
2022-03-29,32.553435,165985.66301369868,85352784246.3984,56030372602.73947
2022-03-30,32.954892,166031.6246575343,85366542436.75732,56013284931.50659
2022-03-31,32.687887,166077.5863013699,85380300627.11624,55996197260.27371
2022-04-01,32.490666,166123.54794520553,85394058817.47516,55979109589.04083
2022-04-02,32.54159,166169.50958904115,85407817007.83408,55962021917.80795
2022-04-03,32.541687,166215.47123287676,85421575198.193,55944934246.57507
2022-04-04,32.249928,166261.43287671238,85435333388.55191,55927846575.34219
2022-04-05,32.053007,166307.394520548,85449091578.91083,55910758904.109314
2022-04-06,32.079246,166353.35616438361,85462849769.26974,55893671232.876434
2022-04-07,32.06337,166399.31780821923,85476607959.62866,55876583561.643555
2022-04-08,32.030923,166445.27945205485,85490366149.98758,55859495890.410675
2022-04-09,31.988316,166491.24109589047,85504124340.3465,55842408219.177795
2022-04-10,31.988316,166537.20273972608,85517882530.70541,55825320547.944916
2022-04-11,32.016886,166583.1643835617,85531640721.06433,55808232876.712036
2022-04-12,32.019002,166629.12602739732,85545398911.42325,55791145205.47916
2022-04-13,31.966562,166675.08767123293,85559157101.78217,55774057534.24628
2022-04-14,31.831109,166721.04931506855,85572915292.14108,55756969863.0134
2022-04-15,31.779901,166767.01095890417,85586673482.5,55739882191.78052
2022-04-16,32.076323,166812.97260273978,85600431672.85892,55722794520.54764
2022-04-17,32.076323,166858.9342465754,85614189863.21783,55705706849.31476
2022-04-18,32.057124,166904.89589041102,85627948053.57675,55688619178.08188
2022-04-20,31.880898,166996.81917808225,85655464434.29459,55654443835.61612
2022-04-21,31.910723,167042.78082191787,85669222624.6535,55637356164.38324
2022-04-22,32.033276,167088.7424657535,85682980815.01242,55620268493.15036
2022-04-23,31.730477,167134.7041095891,85696739005.37134,55603180821.91748
2022-04-24,31.835934,167180.66575342472,85710497195.73026,55586093150.6846
2022-04-25,31.851084,167226.62739726034,85724255386.08917,55569005479.45172
2022-04-26,32.409984,167272.58904109595,85738013576.44809,55551917808.21884
2022-04-27,32.218943,167318.55068493157,85751771766.807,55534830136.98596
2022-04-28,31.933657,167364.5123287672,85765529957.16592,55517742465.75308
2022-04-29,31.773569,167410.4739726028,85779288147.52484,55500654794.5202
2022-04-30,31.89707,167456.43561643842,85793046337.88376,55483567123.28732
2022-05-01,31.89707,167502.39726027404,85806804528.24268,55466479452.05444
2022-05-02,31.850904,167548.35890410966,85820562718.6016,55449391780.82156
2022-05-03,30.938683,167594.32054794527,85834320908.96051,55432304109.588684
2022-05-04,30.79483,167640.2821917809,85848079099.31943,55415216438.355804
2022-05-05,31.233941,167686.2438356165,85861837289.67834,55398128767.122925
2022-05-06,31.020038,167732.20547945212,85875595480.03726,55381041095.890045
2022-05-07,31.904487,167778.16712328774,85889353670.39618,55363953424.657166
2022-05-08,31.904487,167824.12876712336,85903111860.7551,55346865753.424286
2022-05-09,31.84001,167870.09041095898,85916870051.11401,55329778082.19141
2022-05-10,31.964031,167916.0520547946,85930628241.47293,55312690410.95853
2022-05-11,31.831315,167962.0136986302,85944386431.83185,55295602739.72565
2022-05-12,31.783298,168007.97534246583,85958144622.19077,55278515068.49277
2022-05-13,30.660491,168053.93698630144,85971902812.54968,55261427397.25989
2022-05-14,30.714242,168099.89863013706,85985661002.9086,55244339726.02701
2022-05-15,30.714242,168145.86027397268,85999419193.26752,55227252054.79413
2022-05-16,30.683884,168191.8219178083,86013177383.62643,55210164383.56125
2022-05-17,30.87413,168237.7835616439,86026935573.98535,55193076712.32837
2022-05-18,31.14685,168283.74520547953,86040693764.34427,55175989041.09549
2022-05-19,30.939598,168329.70684931515,86054451954.70319,55158901369.86261
2022-05-20,31.268461,168375.66849315076,86068210145.0621,55141813698.62973
2022-05-21,31.231347,168421.63013698638,86081968335.42102,55124726027.39685
2022-05-22,31.231347,168467.591780822,86095726525.77994,55107638356.16397
2022-05-23,31.254471,168513.5534246576,86109484716.13885,55090550684.93109
2022-05-24,31.560968,168559.51506849323,86123242906.49777,55073463013.69821
2022-05-25,31.543452,168605.47671232885,86137001096.85669,55056375342.46533
2022-05-26,31.586246,168651.43835616446,86150759287.2156,55039287671.23245
2022-05-27,31.576887,168697.40000000008,86164517477.57452,55022199999.99957
2022-05-28,31.695681,168743.3616438357,86178275667.93344,55005112328.76669
2022-05-29,31.695681,168789.32328767132,86192033858.29236,54988024657.53381
2022-05-30,31.676456,168835.28493150693,86205792048.65128,54970936986.300934
2022-05-31,31.810119,168881.24657534255,86219550239.0102,54953849315.068054
2022-06-01,31.708316,168927.20821917817,86233308429.36911,54936761643.835175
2022-06-02,31.445632,168973.16986301378,86247066619.72803,54919673972.602295
2022-06-03,31.742192,169019.1315068494,86260824810.08694,54902586301.369415
2022-06-04,31.528037,169065.09315068502,86274583000.44586,54885498630.136536
2022-06-05,31.57789,169111.05479452063,86288341190.80478,54868410958.903656
2022-06-06,31.594829,169157.01643835625,86302099381.1637,54851323287.67078
2022-06-07,31.552799,169202.97808219187,86315857571.52261,54834235616.4379
2022-06-08,31.610509,169248.9397260275,86329615761.88153,54817147945.20502
2022-06-09,31.620156,169294.9013698631,86343373952.24045,54800060273.97214
2022-06-10,31.383284,169340.86301369872,86357132142.59937,54782972602.73926
2022-06-11,31.089767,169386.82465753434,86370890332.95828,54765884931.50638
2022-06-12,31.299042,169432.78630136995,86384648523.3172,54748797260.2735
2022-06-13,31.208446,169478.74794520557,86398406713.67612,54731709589.04062
2022-06-14,30.921822,169524.7095890412,86412164904.03503,54714621917.80774
2022-06-15,30.818987,169570.6712328768,86425923094.39395,54697534246.57486
2022-06-16,30.885837,169616.63287671242,86439681284.75287,54680446575.34198
2022-06-17,31.164816,169662.59452054804,86453439475.11179,54663358904.1091
2022-06-18,30.999635,169708.55616438366,86467197665.4707,54646271232.87622
2022-06-19,31.070056,169754.51780821927,86480955855.82962,54629183561.64334
2022-06-20,31.056165,169800.4794520549,86494714046.18854,54612095890.41046
