,Rate,Gdp,Import,Export
2021-12-17,4.159826,499133.93150685506,424685136659.91736,
2021-12-18,4.12787,499373.8027397318,424905582961.1007,
2021-12-19,4.12787,499613.6739726085,425126029262.28406,
2021-12-20,4.130046,499853.54520548525,425346475563.4674,
2021-12-21,4.144655,500093.416438362,425566921864.65076,
2021-12-22,4.147128,500333.2876712387,425787368165.8341,
2021-12-23,4.164818,500573.15890411544,426007814467.01746,
2021-12-24,4.159916,500813.03013699217,426228260768.2008,
2021-12-25,4.165371,501052.9013698689,426448707069.38416,
2021-12-26,4.165371,501292.7726027456,426669153370.5675,
2021-12-27,4.157648,501532.64383562235,426889599671.75085,
2021-12-28,4.159864,501772.5150684991,427110045972.9342,
2021-12-29,4.150851,502012.3863013758,427330492274.11755,
2021-12-30,4.167472,502252.25753425254,427550938575.3009,
2021-12-31,4.158853,502492.12876712927,427771384876.48425,
2022-01-01,4.176782,502732.0,427991831177.672,
2022-01-02,4.176782,502763.22739726026,428139392187.39813,
2022-01-03,4.174325,502794.4547945205,428286953197.12427,
2022-01-04,4.152814,502825.68219178077,428434514206.8504,
2022-01-05,4.14606,502856.909589041,428582075216.57654,
2022-01-06,4.156286,502888.1369863013,428729636226.3027,
2022-01-07,4.149464,502919.36438356154,428877197236.0288,
2022-01-08,4.173197,502950.5917808218,429024758245.75494,
2022-01-09,4.173269,502981.81917808205,429172319255.4811,
2022-01-10,4.163324,503013.0465753423,429319880265.2072,
2022-01-11,4.162699,503044.27397260256,429467441274.93335,
2022-01-12,4.177612,503075.5013698628,429615002284.6595,
2022-01-13,4.202603,503106.7287671231,429762563294.3856,
2022-01-14,4.211306,503137.95616438333,429910124304.11176,
2022-01-15,4.193127,503169.1835616436,430057685313.8379,
2022-01-16,4.193127,503200.41095890384,430205246323.564,
2022-01-17,4.190304,503231.6383561641,430352807333.29016,
2022-01-18,4.193998,503262.86575342435,430500368343.0163,
2022-01-19,4.158361,503294.0931506846,430647929352.74243,
2022-01-20,4.172909,503325.32054794487,430795490362.46857,
2022-01-21,4.151797,503356.5479452051,430943051372.1947,
2022-01-22,4.166974,503387.7753424654,431090612381.92084,
