,Rate,Gdp,Import,Export
2021-12-17,1.132548,25911322.260274366,3953265164383.496,3038950136986.3037
2021-12-18,1.12381,25917694.109589435,3954801753424.592,3040249794520.5503
2021-12-19,1.12381,25924065.958904505,3956338342465.6875,3041549452054.797
2021-12-20,1.124405,25930437.808219574,3957874931506.783,3042849109589.0435
2021-12-21,1.128382,25936809.657534644,3959411520547.879,3044148767123.29
2021-12-22,1.129053,25943181.506849714,3960948109588.9746,3045448424657.5366
2021-12-23,1.13387,25949553.356164783,3962484698630.0703,3046748082191.783
2021-12-24,1.132535,25955925.205479853,3964021287671.166,3048047739726.03
2021-12-25,1.134039,25962297.054794922,3965557876712.2617,3049347397260.2764
2021-12-26,1.134039,25968668.904109992,3967094465753.3574,3050647054794.523
2021-12-27,1.131958,25975040.75342506,3968631054794.453,3051946712328.7695
2021-12-28,1.132522,25981412.60274013,3970167643835.549,3053246369863.016
2021-12-29,1.130067,25987784.4520552,3971704232876.6445,3054546027397.2627
2021-12-30,1.134591,25994156.30137027,3973240821917.74,3055845684931.5093
2021-12-31,1.132245,26000528.15068534,3974777410958.836,3057145342465.756
2022-01-01,1.137145,26006900.0,3976314000000.0,3058445000000.0
2022-01-02,1.137145,26011595.410958905,3975967416438.356,3058538383561.644
2022-01-03,1.136496,26016290.82191781,3975620832876.712,3058631767123.288
2022-01-04,1.130601,26020986.232876714,3975274249315.068,3058725150684.932
2022-01-05,1.128764,26025681.64383562,3974927665753.424,3058818534246.576
2022-01-06,1.131548,26030377.054794524,3974581082191.78,3058911917808.22
2022-01-07,1.129688,26035072.46575343,3974234498630.1357,3059005301369.8643
2022-01-08,1.136169,26039767.876712333,3973887915068.4917,3059098684931.5083
2022-01-09,1.136169,26044463.28767124,3973541331506.8477,3059192068493.1523
2022-01-10,1.133465,26049158.698630143,3973194747945.2036,3059285452054.7964
2022-01-11,1.133292,26053854.109589048,3972848164383.5596,3059378835616.4404
2022-01-12,1.137352,26058549.520547953,3972501580821.9155,3059472219178.0845
2022-01-13,1.144158,26063244.931506857,3972154997260.2715,3059565602739.7285
2022-01-14,1.146527,26067940.342465762,3971808413698.6274,3059658986301.3726
2022-01-15,1.141611,26072635.753424667,3971461830136.9834,3059752369863.0166
2022-01-16,1.141611,26077331.16438357,3971115246575.3394,3059845753424.6606
2022-01-17,1.140843,26082026.575342476,3970768663013.6953,3059939136986.3047
2022-01-18,1.141816,26086721.98630138,3970422079452.0513,3060032520547.9487
2022-01-19,1.132112,26091417.397260286,3970075495890.407,3060125904109.593
2022-01-20,1.136073,26096112.80821919,3969728912328.763,3060219287671.237
2022-01-21,1.130324,26100808.219178095,3969382328767.119,3060312671232.881
2022-01-22,1.134475,26105503.630137,3969035745205.475,3060406054794.525
2022-01-23,1.134475,26110199.041095905,3968689161643.831,3060499438356.169
2022-01-24,1.133703,26114894.45205481,3968342578082.187,3060592821917.813
2022-01-25,1.132112,26119589.863013715,3967995994520.543,3060686205479.457
2022-01-26,1.130193,26124285.27397262,3967649410958.899,3060779589041.101
2022-01-27,1.123293,26128980.684931524,3967302827397.255,3060872972602.745
2022-01-28,1.114479,26133676.09589043,3966956243835.611,3060966356164.389
2022-01-29,1.114789,26138371.506849334,3966609660273.967,3061059739726.033
2022-01-30,1.114789,26143066.91780824,3966263076712.3228,3061153123287.6772
2022-01-31,1.114548,26147762.328767143,3965916493150.6787,3061246506849.3213
2022-02-01,1.124277,26152457.739726048,3965569909589.0347,3061339890410.9653
2022-02-02,1.127561,26157153.150684953,3965223326027.3906,3061433273972.6094
2022-02-03,1.129784,26161848.561643858,3964876742465.7466,3061526657534.2534
2022-02-04,1.14539,26166543.972602762,3964530158904.1025,3061620041095.8975
2022-02-05,1.144945,26171239.383561667,3964183575342.4585,3061713424657.5415
2022-02-06,1.144945,26175934.79452057,3963836991780.8145,3061806808219.1855
2022-02-07,1.145292,26180630.205479477,3963490408219.1704,3061900191780.8296
2022-02-08,1.144171,26185325.61643838,3963143824657.5264,3061993575342.4736
2022-02-09,1.141418,26190021.027397286,3962797241095.8823,3062086958904.1177
2022-02-10,1.141942,26194716.43835619,3962450657534.2383,3062180342465.7617
2022-02-11,1.139984,26199411.849315096,3962104073972.594,3062273726027.406
2022-02-12,1.13494,26204107.260274,3961757490410.95,3062367109589.05
2022-02-13,1.13494,26208802.671232905,3961410906849.306,3062460493150.694
2022-02-14,1.135364,26213498.08219181,3961064323287.662,3062553876712.338
2022-02-15,1.131087,26218193.493150715,3960717739726.018,3062647260273.982
2022-02-16,1.135544,26222888.90410962,3960371156164.374,3062740643835.626
2022-02-17,1.137883,26227584.315068524,3960024572602.73,3062834027397.27
2022-02-18,1.135957,26232279.72602743,3959677989041.086,3062927410958.914
2022-02-19,1.132241,26236975.136986334,3959331405479.442,3063020794520.558
2022-02-20,1.132241,26241670.54794524,3958984821917.798,3063114178082.202
2022-02-21,1.132022,26246365.958904143,3958638238356.154,3063207561643.846
2022-02-22,1.131612,26251061.36986305,3958291654794.51,3063300945205.49
2022-02-23,1.133337,26255756.780821953,3957945071232.8657,3063394328767.1343
2022-02-24,1.128082,26260452.191780858,3957598487671.2217,3063487712328.7783
2022-02-25,1.119107,26265147.602739763,3957251904109.5776,3063581095890.4224
2022-02-26,1.127263,26269843.013698667,3956905320547.9336,3063674479452.0664
2022-02-27,1.127263,26274538.424657572,3956558736986.2896,3063767863013.7104
2022-02-28,1.116832,26279233.835616477,3956212153424.6455,3063861246575.3545
2022-03-01,1.120452,26283929.24657538,3955865569863.0015,3063954630136.9985
2022-03-02,1.112533,26288624.657534286,3955518986301.3574,3064048013698.6426
2022-03-03,1.110173,26293320.06849319,3955172402739.7134,3064141397260.2866
2022-03-04,1.102378,26298015.479452096,3954825819178.0693,3064234780821.9307
2022-03-05,1.094769,26302710.890411,3954479235616.4253,3064328164383.5747
2022-03-06,1.094769,26307406.301369905,3954132652054.7812,3064421547945.2188
2022-03-07,1.085128,26312101.71232881,3953786068493.137,3064514931506.863
2022-03-08,1.085388,26316797.123287715,3953439484931.493,3064608315068.507
2022-03-09,1.090798,26321492.53424662,3953092901369.849,3064701698630.151
2022-03-10,1.104412,26326187.945205525,3952746317808.205,3064795082191.795
2022-03-11,1.098659,26330883.35616443,3952399734246.561,3064888465753.439
2022-03-12,1.091202,26335578.767123334,3952053150684.917,3064981849315.083
2022-03-13,1.091202,26340274.17808224,3951706567123.273,3065075232876.727
2022-03-14,1.091524,26344969.589041144,3951359983561.629,3065168616438.371
2022-03-15,1.09445,26349665.00000005,3951013399999.985,3065262000000.015
2022-03-16,1.095963,26354360.410958953,3950666816438.341,3065355383561.659
2022-03-17,1.104264,26359055.821917858,3950320232876.697,3065448767123.303
2022-03-18,1.110038,26363751.232876763,3949973649315.0527,3065542150684.9473
2022-03-19,1.106255,26368446.643835668,3949627065753.4087,3065635534246.5913
2022-03-20,1.106255,26373142.054794572,3949280482191.7646,3065728917808.2354
2022-03-21,1.104734,26377837.465753477,3948933898630.1206,3065822301369.8794
2022-03-22,1.100134,26382532.87671238,3948587315068.4766,3065915684931.5234
2022-03-23,1.102305,26387228.287671287,3948240731506.8325,3066009068493.1675
2022-03-24,1.09982,26391923.69863019,3947894147945.1885,3066102452054.8115
2022-03-25,1.10103,26396619.109589096,3947547564383.5444,3066195835616.4556
2022-03-26,1.098357,26401314.520548,3947200980821.9004,3066289219178.0996
2022-03-27,1.098357,26406009.931506906,3946854397260.2563,3066382602739.7437
2022-03-28,1.099675,26410705.34246581,3946507813698.6123,3066475986301.3877
2022-03-29,1.107861,26415400.753424715,3946161230136.9683,3066569369863.0317
2022-03-30,1.11525,26420096.16438362,3945814646575.324,3066662753424.676
2022-03-31,1.10815,26424791.575342525,3945468063013.68,3066756136986.32
2022-04-01,1.10435,26429486.98630143,3945121479452.036,3066849520547.964
2022-04-02,1.104845,26434182.397260334,3944774895890.392,3066942904109.608
2022-04-03,1.104849,26438877.80821924,3944428312328.748,3067036287671.252
2022-04-04,1.097249,26443573.219178144,3944081728767.104,3067129671232.896
2022-04-05,1.090441,26448268.63013705,3943735145205.46,3067223054794.54
2022-04-06,1.091287,26452964.041095953,3943388561643.816,3067316438356.184
2022-04-07,1.090746,26457659.45205486,3943041978082.172,3067409821917.828
2022-04-08,1.086272,26462354.863013763,3942695394520.528,3067503205479.472
2022-04-09,1.087583,26467050.273972668,3942348810958.884,3067596589041.116
2022-04-10,1.087583,26471745.684931573,3942002227397.2397,3067689972602.7603
2022-04-11,1.088554,26476441.095890477,3941655643835.5957,3067783356164.4043
2022-04-12,1.088068,26481136.506849382,3941309060273.9517,3067876739726.0483
2022-04-13,1.082544,26485831.917808287,3940962476712.3076,3067970123287.6924
2022-04-14,1.08853,26490527.32876719,3940615893150.6636,3068063506849.3364
2022-04-15,1.080835,26495222.739726096,3940269309589.0195,3068156890410.9805
2022-04-16,1.081438,26499918.150685,3939922726027.3755,3068250273972.6245
2022-04-17,1.081438,26504613.561643906,3939576142465.7314,3068343657534.2686
2022-04-18,1.079891,26509308.97260281,3939229558904.0874,3068437041095.9126
2022-04-20,1.079333,26518699.79452062,3938536391780.7993,3068623808219.2007
2022-04-21,1.084975,26523395.205479525,3938189808219.1553,3068717191780.8447
2022-04-22,1.083553,26528090.61643843,3937843224657.511,3068810575342.489
2022-04-23,1.079936,26532786.027397335,3937496641095.867,3068903958904.133
2022-04-24,1.079936,26537481.43835624,3937150057534.223,3068997342465.777
2022-04-25,1.08045,26542176.849315144,3936803473972.579,3069090726027.421
2022-04-26,1.071398,26546872.26027405,3936456890410.935,3069184109589.065
2022-04-27,1.064011,26551567.671232954,3936110306849.291,3069277493150.709
2022-04-28,1.054808,26556263.08219186,3935763723287.647,3069370876712.353
2022-04-29,1.051215,26560958.493150763,3935417139726.003,3069464260273.997
2022-04-30,1.054463,26565653.904109668,3935070556164.359,3069557643835.641
2022-05-01,1.054463,26570349.315068573,3934723972602.715,3069651027397.285
2022-05-02,1.052936,26575044.726027478,3934377389041.071,3069744410958.929
2022-05-03,1.05189,26579740.136986382,3934030805479.427,3069837794520.573
2022-05-04,1.052355,26584435.547945287,3933684221917.7827,3069931178082.2173
2022-05-05,1.062665,26589130.95890419,3933337638356.1387,3070024561643.8613
2022-05-06,1.053585,26593826.369863097,3932991054794.4946,3070117945205.5054
2022-05-07,1.054808,26598521.780822,3932644471232.8506,3070211328767.1494
2022-05-08,1.054808,26603217.191780906,3932297887671.2065,3070304712328.7935
2022-05-09,1.052676,26607912.60273981,3931951304109.5625,3070398095890.4375
2022-05-10,1.05571,26612608.013698716,3931604720547.9185,3070491479452.0815
2022-05-11,1.053241,26617303.42465762,3931258136986.2744,3070584863013.7256
2022-05-12,1.051325,26621998.835616525,3930911553424.6304,3070678246575.3696
2022-05-13,1.037926,26626694.24657543,3930564969862.9863,3070771630137.0137
2022-05-14,1.04107,26631389.657534335,3930218386301.3423,3070865013698.6577
