,Rate,Gdp,Import,Export
2021-12-17,50.259957,70194.87671232873,19383680879.568848,23408223121.379925
2021-12-18,50.216494,70221.88493150681,19395034909.551117,23417986561.288544
2021-12-19,50.216494,70248.89315068489,19406388939.533386,23427750001.197163
2021-12-20,50.252481,70275.90136986297,19417742969.515656,23437513441.10578
2021-12-21,50.146738,70302.90958904105,19429096999.497925,23447276881.0144
2021-12-22,50.100015,70329.91780821914,19440451029.480194,23457040320.92302
2021-12-23,50.113096,70356.92602739722,19451805059.462463,23466803760.83164
2021-12-24,50.247496,70383.9342465753,19463159089.444733,23476567200.740257
2021-12-25,50.351553,70410.94246575338,19474513119.427002,23486330640.648876
2021-12-26,50.351553,70437.95068493146,19485867149.40927,23496094080.557495
2021-12-27,50.259169,70464.95890410955,19497221179.39154,23505857520.466114
2021-12-28,50.320625,70491.96712328763,19508575209.37381,23515620960.374733
2021-12-29,50.336869,70518.97534246571,19519929239.35608,23525384400.28335
2021-12-30,50.27248,70545.98356164379,19531283269.33835,23535147840.19197
2021-12-31,50.358109,70572.99178082187,19542637299.320618,23544911280.10059
2022-01-01,50.746114,70600.0,19553991329.3027,23554674720.009
2022-01-02,50.746114,70620.26575342465,19553347711.325542,23550191813.15412
2022-01-03,50.717114,70640.53150684931,19552704093.348385,23545708906.299244
2022-01-04,50.774594,70660.79726027396,19552060475.371227,23541225999.444366
2022-01-05,50.442565,70681.06301369861,19551416857.39407,23536743092.58949
2022-01-06,50.5158,70701.32876712327,19550773239.416912,23532260185.73461
2022-01-07,50.55179,70721.59452054792,19550129621.439754,23527777278.879734
2022-01-08,50.842414,70741.86027397258,19549486003.462597,23523294372.024857
2022-01-09,50.588654,70762.12602739723,19548842385.48544,23518811465.16998
2022-01-10,50.506927,70782.39178082188,19548198767.50828,23514328558.3151
2022-01-11,50.699254,70802.65753424654,19547555149.531124,23509845651.460224
2022-01-12,50.513205,70822.92328767119,19546911531.553967,23505362744.605347
2022-01-13,51.118182,70843.18904109584,19546267913.57681,23500879837.75047
2022-01-14,51.17176,70863.4547945205,19545624295.59965,23496396930.89559
2022-01-15,50.976458,70883.72054794515,19544980677.622494,23491914024.040714
2022-01-16,50.976458,70903.9863013698,19544337059.645336,23487431117.185837
2022-01-17,50.942146,70924.25205479446,19543693441.66818,23482948210.33096
2022-01-18,50.892637,70944.51780821911,19543049823.69102,23478465303.47608
2022-01-19,50.469526,70964.78356164377,19542406205.713863,23473982396.621204
2022-01-20,50.650027,70985.04931506842,19541762587.736706,23469499489.766327
2022-01-21,50.410754,71005.31506849307,19541118969.75955,23465016582.91145
2022-01-22,50.674518,71025.58082191773,19540475351.78239,23460533676.056572
2022-01-23,50.674518,71045.84657534238,19539831733.805233,23456050769.201694
