,Rate,Gdp,Import,Export
2021-12-17,128.264034,1065.794520547947,567749815.7027669,149209799.34432417
2021-12-18,127.274423,1066.2082191780842,568003432.2214317,149401599.14162058
2021-12-19,127.274423,1066.621917808221,568257048.7400966,149593398.93891698
2021-12-20,127.341837,1067.035616438358,568510665.2587614,149785198.7362134
2021-12-21,127.792212,1067.449315068495,568764281.7774262,149976998.5335098
2021-12-22,127.868291,1067.8630136986321,569017898.2960911,150168798.3308062
2021-12-23,128.413832,1068.276712328769,569271514.8147559,150360598.1281026
2021-12-24,128.262582,1068.6904109589059,569525131.3334208,150552397.925399
2021-12-25,128.432894,1069.104109589043,569778747.8520856,150744197.7226954
2021-12-26,128.432894,1069.51780821918,570032364.3707504,150935997.51999182
2021-12-27,128.197247,1069.931506849317,570285980.8894153,151127797.31728822
2021-12-28,128.261129,1070.3452054794539,570539597.4080801,151319597.11458462
2021-12-29,127.983081,1070.758904109591,570793213.9267449,151511396.91188103
2021-12-30,128.495422,1071.172602739728,571046830.4454098,151703196.70917743
2021-12-31,128.229751,1071.586301369865,571300446.9640746,151894996.50647384
2022-01-01,128.784736,1072.0,,
2022-01-02,128.784736,1072.2356164383561,,
2022-01-03,128.711137,1072.4712328767123,,
2022-01-04,128.043611,1072.7068493150684,,
2022-01-05,127.835486,1072.9424657534246,,
2022-01-06,128.150827,1073.1780821917807,,
2022-01-07,127.940204,1073.4136986301369,,
2022-01-08,128.674202,1073.649315068493,,
2022-01-09,128.674202,1073.8849315068492,,
2022-01-10,128.367944,1074.1205479452053,,
2022-01-11,128.348343,1074.3561643835615,,
2022-01-12,128.808172,1074.5917808219176,,
2022-01-13,129.898372,1074.8273972602738,,
2022-01-14,130.327391,1075.06301369863,,
2022-01-15,129.768554,1075.298630136986,,
2022-01-16,129.768554,1075.5342465753422,,
2022-01-17,129.681207,1075.7698630136983,,
2022-01-18,129.791835,1076.0054794520545,,
2022-01-19,128.688747,1076.2410958904106,,
2022-01-20,129.139043,1076.4767123287668,,
2022-01-21,128.485532,1076.712328767123,,
2022-01-22,128.957377,1076.947945205479,,
2022-01-23,128.957377,1077.1835616438352,,
2022-01-24,128.869657,1077.4191780821914,,
2022-01-25,128.688747,1077.6547945205475,,
2022-01-26,128.470583,1077.8904109589037,,
2022-01-27,127.686268,1078.1260273972598,,
2022-01-28,126.684418,1078.361643835616,,
2022-01-29,126.719687,1078.597260273972,,
2022-01-30,126.719687,1078.8328767123282,,
2022-01-31,126.692205,1079.0684931506844,,
2022-02-01,127.798174,1079.3041095890405,,
2022-02-02,128.171461,1079.5397260273967,,
2022-02-03,128.424137,1079.7753424657528,,
2022-02-04,130.198111,1080.010958904109,,
2022-02-05,130.147561,1080.2465753424651,,
2022-02-06,130.147561,1080.4821917808213,,
2022-02-07,130.186958,1080.7178082191774,,
2022-02-08,130.05957,1080.9534246575336,,
2022-02-09,129.746612,1081.1890410958897,,
2022-02-10,129.806141,1081.4246575342459,,
