,Rate,Gdp,Import,Export
2021-12-17,283.420014,23363.86301369816,,
2021-12-18,281.233771,23375.205479451583,,
2021-12-19,281.233771,23386.547945205006,,
2021-12-20,281.381656,23397.89041095843,,
2021-12-21,282.377947,23409.232876711852,,
2021-12-22,282.545808,23420.575342465276,,
2021-12-23,283.495915,23431.9178082187,,
2021-12-24,283.416769,23443.260273972122,,
2021-12-25,283.793603,23454.602739725546,,
2021-12-26,283.793603,23465.94520547897,,
2021-12-27,283.272275,23477.287671232392,,
2021-12-28,283.413705,23488.630136985816,,
2021-12-29,282.799524,23499.97260273924,,
2021-12-30,283.978363,23511.315068492662,,
2021-12-31,283.344007,23522.657534246086,,
2022-01-01,284.571056,23534.0,,
2022-01-02,284.571056,23522.70684931507,,
2022-01-03,284.40822,23511.41369863014,,
2022-01-04,282.932769,23500.120547945207,,
2022-01-05,282.47318,23488.827397260276,,
2022-01-06,283.170383,23477.534246575346,,
2022-01-07,282.421741,23466.241095890415,,
2022-01-08,284.326814,23454.947945205484,,
2022-01-09,284.326814,23443.654794520553,,
2022-01-10,283.650015,23432.361643835622,,
2022-01-11,283.606177,23421.06849315069,,
2022-01-12,284.680968,23409.77534246576,,
2022-01-13,286.32516,23398.48219178083,,
2022-01-14,286.918167,23387.1890410959,,
2022-01-15,285.688607,23375.895890410968,,
2022-01-16,285.688607,23364.602739726037,,
2022-01-17,285.49587,23353.309589041106,,
2022-01-18,285.739716,23342.016438356175,,
2022-01-19,283.311219,23330.723287671244,,
2022-01-20,284.302395,23319.430136986313,,
2022-01-21,282.863599,23308.136986301382,,
2022-01-22,283.90278,23296.84383561645,,
2022-01-23,283.90278,23285.55068493152,,
2022-01-24,283.709296,23274.25753424659,,
2022-01-25,283.310969,23262.96438356166,,
2022-01-26,282.830305,23251.671232876728,,
2022-01-27,281.103635,23240.378082191797,,
2022-01-28,279.010146,23229.084931506866,,
2022-01-29,278.976453,23217.791780821935,,
2022-01-30,278.976453,23206.498630137005,,
2022-01-31,278.915522,23195.205479452074,,
2022-02-01,281.350241,23183.912328767143,,
2022-02-02,282.171772,23172.619178082212,,
2022-02-03,282.728297,23161.32602739728,,
2022-02-04,286.634014,23150.03287671235,,
2022-02-05,286.522999,23138.73972602742,,
2022-02-06,286.522999,23127.44657534249,,
2022-02-07,286.609503,23116.153424657557,,
2022-02-08,286.328763,23104.860273972627,,
2022-02-09,285.639629,23093.567123287696,,
2022-02-10,285.771258,23082.273972602765,,
2022-02-11,285.281249,23070.980821917834,,
2022-02-12,284.019065,23059.687671232903,,
2022-02-13,284.019065,23048.394520547972,,
2022-02-14,284.124933,23037.10136986304,,
2022-02-15,283.054261,23025.80821917811,,
2022-02-16,284.169961,23014.51506849318,,
2022-02-17,284.755141,23003.22191780825,,
2022-02-18,284.339154,22991.928767123318,,
2022-02-19,283.343751,22980.635616438387,,
2022-02-20,283.343751,22969.342465753456,,
2022-02-21,283.288787,22958.049315068525,,
2022-02-22,283.186091,22946.756164383594,,
2022-02-23,283.680443,22935.463013698663,,
2022-02-24,282.302868,22924.169863013733,,
2022-02-25,280.056854,22912.8767123288,,
2022-02-26,282.098079,22901.58356164387,,
2022-02-27,282.098079,22890.29041095894,,
2022-02-28,279.48676,22878.99726027401,,
2022-03-01,280.393725,22867.704109589078,,
2022-03-02,278.411022,22856.410958904147,,
2022-03-03,277.82074,22845.117808219216,,
2022-03-04,275.869824,22833.824657534286,,
2022-03-05,273.966253,22822.531506849355,,
2022-03-06,273.966253,22811.238356164424,,
2022-03-07,271.553061,22799.945205479493,,
2022-03-08,271.617971,22788.652054794562,,
2022-03-09,273.049778,22777.35890410963,,
2022-03-10,276.37907,22766.0657534247,,
2022-03-11,274.993749,22754.77260273977,,
2022-03-12,273.073754,22743.47945205484,,
2022-03-13,273.073754,22732.186301369908,,
2022-03-14,273.153446,22720.893150684977,,
2022-03-15,273.886549,22709.600000000046,,
2022-03-16,274.264945,22698.306849315115,,
2022-03-17,276.342563,22687.013698630184,,
2022-03-18,277.787048,22675.720547945253,,
2022-03-19,276.840808,22664.427397260322,,
2022-03-20,276.840808,22653.13424657539,,
2022-03-21,276.459988,22641.84109589046,,
2022-03-22,275.308598,22630.54794520553,,
2022-03-23,275.900583,22619.2547945206,,
2022-03-24,275.229731,22607.961643835668,,
2022-03-25,275.532689,22596.668493150737,,
2022-03-26,274.864352,22585.375342465806,,
2022-03-27,274.864352,22574.082191780875,,
2022-03-28,275.193919,22562.789041095944,,
2022-03-29,277.242482,22551.495890411014,,
2022-03-30,279.090973,22540.202739726083,,
2022-03-31,277.314191,22528.90958904115,,
2022-04-01,276.36387,22517.61643835622,,
2022-04-02,276.487934,22506.32328767129,,
2022-04-03,276.48787,22495.03013698636,,
2022-04-04,274.586895,22483.73698630143,,
2022-04-05,272.882397,22472.443835616497,,
2022-04-06,273.094724,22461.150684931567,,
2022-04-07,272.959181,22449.857534246636,,
2022-04-08,271.839572,22438.564383561705,,
2022-04-09,272.276692,22427.271232876774,,
2022-04-10,272.276692,22415.978082191843,,
2022-04-11,272.51949,22404.684931506912,,
2022-04-12,272.37074,22393.39178082198,,
2022-04-13,270.906935,22382.09863013705,,
2022-04-14,272.404393,22370.80547945212,,
2022-04-15,270.478843,22359.51232876719,,
2022-04-16,270.630169,22348.219178082258,,
2022-04-17,270.630169,22336.926027397327,,
2022-04-18,270.242877,22325.632876712396,,
2022-04-20,270.103301,22303.046575342534,,
2022-04-21,271.514887,22291.753424657603,,
2022-04-22,271.158996,22280.460273972672,,
2022-04-23,270.254488,22269.16712328774,,
2022-04-24,270.254488,22257.87397260281,,
2022-04-25,270.38283,22246.58082191788,,
2022-04-26,268.116737,22235.28767123295,,
2022-04-27,266.268421,22223.994520548018,,
2022-04-28,263.965605,22212.701369863087,,
2022-04-29,263.066388,22201.408219178156,,
2022-04-30,263.93577,22190.115068493225,,
2022-05-01,263.93577,22178.821917808295,,
2022-05-02,263.551257,22167.528767123364,,
2022-05-03,263.235547,22156.235616438433,,
2022-05-04,263.35196,22144.942465753502,,
2022-05-05,265.931991,22133.64931506857,,
2022-05-06,263.659502,22122.35616438364,,
2022-05-07,263.965969,22111.06301369871,,
2022-05-08,263.965969,22099.76986301378,,
2022-05-09,263.432414,22088.476712328847,,
2022-05-10,264.191557,22077.183561643917,,
2022-05-11,263.57343,22065.890410958986,,
2022-05-12,263.094457,22054.597260274055,,
2022-05-13,259.740998,22043.304109589124,,
2022-05-14,260.528088,22032.010958904193,,
2022-05-15,260.528088,22020.717808219262,,
2022-05-16,260.270403,22009.42465753433,,
2022-05-17,261.496969,21998.1315068494,,
2022-05-18,264.086017,21986.83835616447,,
2022-05-19,262.090984,21975.54520547954,,
2022-05-20,264.702728,21964.252054794608,,
2022-05-21,264.325591,21952.958904109677,,
2022-05-22,264.325591,21941.665753424746,,
2022-05-23,264.52135,21930.372602739815,,
2022-05-24,267.309497,21919.079452054884,,
2022-05-25,268.344266,21907.786301369953,,
2022-05-26,267.703216,21896.493150685023,,
2022-05-27,268.646887,21885.20000000009,,
2022-05-28,268.651659,21873.90684931516,,
2022-05-29,268.651659,21862.61369863023,,
2022-05-30,268.488243,21851.3205479453,,
2022-05-31,269.552429,21840.027397260368,,
2022-06-01,268.601303,21828.734246575437,,
2022-06-02,266.586421,21817.441095890506,,
2022-06-03,268.987388,21806.147945205576,,
2022-06-04,268.264192,21794.854794520645,,
2022-06-05,268.264192,21783.561643835714,,
2022-06-06,268.407736,21772.268493150783,,
2022-06-07,267.423733,21760.975342465852,,
2022-06-08,267.690247,21749.68219178092,,
2022-06-09,268.088123,21738.38904109599,,
2022-06-10,265.888432,21727.09589041106,,
2022-06-11,263.209483,21715.80273972613,,
2022-06-12,263.209483,21704.509589041198,,
2022-06-13,262.447169,21693.216438356267,,
2022-06-14,260.809789,21681.923287671336,,
2022-06-15,261.153546,21670.630136986405,,
2022-06-16,261.719601,21659.336986301474,,
2022-06-17,263.81062,21648.043835616543,,
2022-06-18,262.646186,21636.750684931612,,
2022-06-19,262.646186,21625.45753424668,,
2022-06-20,262.528325,21614.16438356175,,
2022-06-21,263.271383,21602.87123287682,,
2022-06-22,263.564915,21591.57808219189,,
