,Rate,Gdp,Import,Export
2021-12-17,10194.285784,28873.53424657476,8447497169.358942,12414266746.43017
2021-12-18,10115.639348,28892.898630136402,8450172569.53384,12416228875.61262
2021-12-19,10115.639348,28912.263013698044,8452847969.708738,12418191004.795069
2021-12-20,10120.993621,28931.627397259686,8455523369.883636,12420153133.977518
2021-12-21,10156.785954,28950.99178082133,8458198770.058535,12422115263.159967
2021-12-22,10162.836155,28970.35616438297,8460874170.233433,12424077392.342417
2021-12-23,10206.193812,28989.720547944613,8463549570.408331,12426039521.524866
2021-12-24,10194.170143,29009.084931506255,8466224970.583229,12428001650.707315
2021-12-25,10207.713412,29028.449315067897,8468900370.758127,12429963779.889765
2021-12-26,10207.713412,29047.81369862954,8471575770.933025,12431925909.072214
2021-12-27,10188.981921,29067.17808219118,8474251171.1079235,12433888038.254663
2021-12-28,10194.054592,29086.542465752824,8476926571.282822,12435850167.437113
2021-12-29,10171.959988,29105.906849314466,8479601971.45772,12437812296.619562
2021-12-30,10212.680268,29125.271232876108,8482277371.632618,12439774425.802011
2021-12-31,10191.501729,29144.63561643775,8484952771.807516,12441736554.98446
2022-01-01,10235.677475,29164.0,8487628171.9824,12443698684.1668
2022-01-02,10235.677475,29159.65479452055,8492629155.794285,12440986907.471123
2022-01-03,10229.82254,29155.3095890411,8497630139.60617,12438275130.775446
2022-01-04,10176.772164,29150.964383561648,8502631123.418055,12435563354.07977
2022-01-05,10160.223563,29146.619178082197,8507632107.229939,12432851577.384092
2022-01-06,10185.29024,29142.273972602747,8512633091.041824,12430139800.688416
2022-01-07,10168.547658,29137.928767123296,8517634074.853709,12427428023.992739
2022-01-08,10226.892365,29133.583561643845,8522635058.665594,12424716247.297062
2022-01-09,10226.892365,29129.238356164395,8527636042.477479,12422004470.601385
2022-01-10,10202.546354,29124.893150684944,8532637026.289364,12419292693.905708
2022-01-11,10200.918821,29120.547945205493,8537638010.101249,12416580917.210032
2022-01-12,10237.535424,29116.202739726043,8542638993.913134,12413869140.514355
2022-01-13,10298.794982,29111.857534246592,8547639977.7250185,12411157363.818678
2022-01-14,10320.119583,29107.51232876714,8552640961.536903,12408445587.123001
2022-01-15,10275.874438,29103.16712328769,8557641945.348788,12405733810.427324
2022-01-16,10275.874438,29098.82191780824,8562642929.160673,12403022033.731647
2022-01-17,10268.954834,29094.47671232879,8567643912.972558,12400310257.03597
2022-01-18,10277.71608,29090.13150684934,8572644896.784443,12397598480.340294
2022-01-19,10190.37532,29085.786301369888,8577645880.596328,12394886703.644617
2022-01-20,10226.07095,29081.441095890437,8582646864.408213,12392174926.94894
2022-01-21,10174.269938,29077.095890410987,8587647848.220098,12389463150.253263
2022-01-22,10211.640386,29072.750684931536,8592648832.031982,12386751373.557587
2022-01-23,10211.640386,29068.405479452085,8597649815.843868,12384039596.86191
2022-01-24,10204.697418,29064.060273972635,8602650799.655752,12381327820.166233
2022-01-25,10190.368287,29059.715068493184,8607651783.467636,12378616043.470556
2022-01-26,10173.087217,29055.369863013733,8612652767.279522,12375904266.77488
2022-01-27,10110.98007,29051.024657534283,8617653751.091408,12373192490.079203
2022-01-28,10031.652566,29046.679452054832,8622654734.903292,12370480713.383526
2022-01-29,10034.446334,29042.33424657538,8627655718.715176,12367768936.687849
2022-01-30,10034.446334,29037.98904109593,8632656702.527061,12365057159.992172
2022-01-31,10032.254591,29033.64383561648,8637657686.338947,12362345383.296495
2022-02-01,10119.843336,29029.29863013703,8642658670.150831,12359633606.600819
2022-02-02,10149.400216,29024.95342465758,8647659653.962715,12356921829.905142
2022-02-03,10169.410527,29020.608219178128,8652660637.774601,12354210053.209465
2022-02-04,10309.902338,29016.263013698677,8657661621.586487,12351498276.513788
2022-02-05,10305.886517,29011.917808219227,8662662605.39837,12348786499.818111
2022-02-06,10305.886517,29007.572602739776,8667663589.210255,12346074723.122435
2022-02-07,10309.001081,29003.227397260325,8672664573.02214,12343362946.426758
2022-02-08,10298.912431,28998.882191780875,8677665556.834026,12340651169.731081
2022-02-09,10274.13629,28994.536986301424,8682666540.64591,12337939393.035404
2022-02-10,10278.843443,28990.191780821973,8687667524.457794,12335227616.339727
2022-02-11,10261.225407,28985.846575342523,8692668508.26968,12332515839.64405
2022-02-12,10215.823009,28981.501369863072,8697669492.081566,12329804062.948374
2022-02-13,10215.823009,28977.15616438362,8702670475.89345,12327092286.252697
2022-02-14,10219.632611,28972.81095890417,8707671459.705334,12324380509.55702
2022-02-15,10181.156397,28968.46575342472,8712672443.51722,12321668732.861343
2022-02-16,10221.259125,28964.12054794527,8717673427.329105,12318956956.165667
2022-02-17,10242.29832,28959.77534246582,8722674411.14099,12316245179.46999
2022-02-18,10224.976067,28955.430136986368,8727675394.952873,12313533402.774313
2022-02-19,10191.532782,28951.084931506917,8732676378.76476,12310821626.078636
2022-02-20,10191.532782,28946.739726027467,8737677362.576645,12308109849.38296
2022-02-21,10189.556484,28942.394520548016,8742678346.388529,12305398072.687283
2022-02-22,10185.864153,28938.049315068565,8747679330.200413,12302686295.991606
2022-02-23,10201.419998,28933.704109589115,8752680314.012299,12299974519.295929
2022-02-24,10154.083292,28929.358904109664,8757681297.824184,12297262742.600252
2022-02-25,10073.303995,28925.013698630213,8762682281.636068,12294550965.904575
2022-02-26,10146.727468,28920.668493150763,8767683265.447952,12291839189.208899
2022-02-27,10146.727468,28916.323287671312,8772684249.259838,12289127412.513222
2022-02-28,10052.825865,28911.97808219186,8777685233.071724,12286415635.817545
2022-03-01,10085.413708,28907.63287671241,8782686216.883608,12283703859.121868
2022-03-02,10014.133144,28903.28767123296,8787687200.695492,12280992082.426191
2022-03-03,9992.887959,28898.94246575351,8792688184.507378,12278280305.730515
